Name	League	Play-offs	FA Cup	League Cup	Total
Dave Bamber Category:Articles with hCards	44	3	2	4	53
Paul Groves Category:Articles with hCards	44	3	2	4	53
David Eyres Category:Articles with hCards	43	3	1	4	51
Ian Gore Category:Articles with hCards	43	3	1	4	51
Tony Rodwell Category:Articles with hCards	42	3	2	4	51
Steve McIlhargey Category:Articles with hCards	29	3	2	4	38
Mike Davies Category:Articles with hCards	30	3	1	4	38
Andy Garner Category:Articles with hCards	31	2	1	3	37
Phil Horner Category:Articles with hCards	29	3	1	2	35
Trevor Sinclair Category:Articles with hCards	29	2	2	2	35
Gary Briggs Category:Articles with hCards	26	0	1	2	29
Andy Gouck Category:Articles with hCards	25	1	0	2	28
Paul Stoneman Category:Articles with hCards	20	0	2	3	25
Dave Burgess Category:Articles with hCards	17	3	1	0	21
Alan Wright Category:Articles with hCards	12	0	0	4	16
Jason Kearton Category:Articles with hCards	15	0	0	0	15
Dylan Kerr Category:Articles with hCards	13	0	0	0	13
Mitch Cook Category:Articles with hCards	8	3	0	0	11
Mark Taylor Category:Articles with hCards	9	0	1	0	10
Grant Leitch Category:Articles with hCards	7	0	0	0	7
Mark Bonner Category:Articles with hCards	4	0	1	0	5
Chris Hedworth Category:Articles with hCards	4	0	1	0	5
Carl Richards Category:Articles with hCards	3	0	0	1	4
Mark Murray Category:Articles with hCards	2	1	0	0	3
A. Howard Category:Articles with hCards	1	0	1	0	2
Jamie Murphy Category:Articles with hCards	0	1	1	0	2
Gary Brook Category:Articles with hCards	1	0	0	0	1
Neil Mitchell Category:Articles with hCards	1	0	0	0	1
