Year (P)	Original title	Title in English	Format	Label, country
1976	Золотой Орфей 76	Golden Orpheus 76	Live LP	Balkanton , Bulgaria
1977	Зеркало души	Mirror of Soul	Double LP	Melodiya , USSR
1979	Арлекино и другие	Harlequin and Others	LP	Melodiya , USSR
1980	Поднимись над суетой	Rise Above Vanity	LP	Melodiya , USSR
1980	То ли ещё будет	Something's Still to Come	LP	Melodiya , USSR
1982	Как тревожен этот путь	How Unrestful Is This Way	Double	Melodiya , USSR
1985	Ах, как хочется жить	Ah, How I Want to Live	LP	Melodiya , USSR
1985	Watch Out	Watch Out	LP	World Record Music, Sweden
1986	Счастья в личной жизни	...Happiness in Private Life!	LP	Melodiya, USSR
1986	Пришла и говорю	I Came to Say	LP	Melodiya, USSR
1990	Алла	Alla	CD	Melodiya, USSR
1991	Рождественские встречи 1990	Christmas meetings 1990	2LP	Russian disc, USSR
1992	Рождественские встречи 1991	Christmas meetings 1991	2LP	Russian disc, Russia
1995	Не делайте мне больно, господа!	Don't Hurt Me, Gentlemen	CD	Soyuz, Russia
1998	Да!	Yes!	CD	Extraphone, Russia
2001	Речной трамвайчик	River Tram	CD	Alla, Russia
2002	А был ли мальчик	Was There a Boy?	CD	Alla, Russia
2003	Живи спокойно, страна!	Live Peacefully, My Country!	CD	Alla & Monolit, Russia
2008	Приглашение на закат	Invitation to a Sunset	CD	Alla
