Ending	American	British	Australian	Examples
at /æt/ , /ət/	æt	æt	æt	magnificat
at /æt/ , /ət/	ət	ət	ət	fiat
em /ɛm/ , /əm/	ɛm	ɛm	em	idem, ibidem
em /ɛm/ , /əm/	əm	əm	əm	item, tandem
en /ən/	ən	ən	ən	lichen, semen
es /iːz/	iz	iz	iz	Achilles, appendices, fæces
ies /iːz/	iz	iz	iz	rabies, species
et /ɛt/	ɛt	ɛt	et	videlicet, scilicet, quodlibet
eus /juːs/ , /i.əs/	(j)ɵus	(j)us	(j)ʉs	Perseus, Nereus
eus /juːs/ , /i.əs/	iəs	iəs	iəs	Perseus, Nereus
im /ɪm/ , /əm/	ɪm	ɪm	ɪm	passim
im /ɪm/ , /əm/	əm	əm	əm	interim
is /ɪs/ , /ɨs/	ɪs	ɪs	ɪs	ægis, crisis, hypothesis
is /ɪs/ , /ɨs/	əs	əs	əs	ægis, crisis, hypothesis
it /ɪt/ , /ɨt/	ɪt	ɪt	ɪt	exit
it /ɪt/ , /ɨt/	ət	ət	ət	deficit
on /ɒn/ , /ən/	ɑn	ɒn	ɔn	icon, marathon
on /ɒn/ , /ən/	ən	ən	ən	bison, siphon, horizon
os /ɒs/	ɑs	ɒs	ɔs	chaos, pathos, pharos
ot /ɒt/ , /ət/	ɑt	ɒt	ɔt	aliquot
