Title (pages)	Spirou	Writer / Artist	1st publication, Belgium	Integrale
Le splendide cavalier (44)	1954	Rosy / Jijé	Album 2: Yucca Ranch, 1955	1
Le visage pâle (44)	1955	Jijé / Jijé	Album 3: Lune d'argent, 1956	1
La révolution méxicaine (44)	1955	Jijé / Jijé	Album 4: Trafic d'armes, 1957	1
La passe des indiens (44)	1955	Jijé / Jijé	Album 5: La passe des indiens, 1957	2
La piste du grand nord (24)	1956	Jijé / Jijé	Album 6: La piste du grand nord, 1958	2
L'or du vieux Lender (20)	1956	Goscinny / Jijé	Album 6: La piste du grand nord, 1958	2
Le ranch de la malchance (16)	1956	Jijé / Jijé	Album 7: Le ranch de la malchance, 1959	2
Enquête à San Juan (21)	1957	Jijé / Jijé	Album 7: Le ranch de la malchance, 1959	2
Le testament de l'oncle Tom (8)	1957	Jijé / Jijé	Album 7: Le ranch de la malchance, 1959	2
Les 3 barbus de Sonoyta (44)	1957	Acquaviva / Jijé	Album 8: Les 3 barbus de Sonoyta, 1959	2
Fort Red Stone (44)	1958	Philip / Jijé	Album 9: Fort Red Stone, 1960	3
Le maître de la sierra (44)	1960	Philip / Jijé	Album 10: Le maître de la sierra, 1960	3
La route de Coronado (44)	1961	Philip / Jijé & Giraud	Album 11: La route de Coronado, 1962	3
El Zopiloté (44)	1962	Jijé / Jijé	Album 12: El Zopiloté, 1964	3
Pancho hors la loi (44)	1963	Jijé / Jijé	Album 13: Pancho hors la loi, 1964	4-5
Les broncos du Montana (44)	1963	Jijé / Jijé	Album 14: Les broncos du Montana, 1965	4-5
Mon ami Red Lover (27)	1964	Philip / Jijé	Album 15: Mon ami Red, 1965	4-5
Le loup solitaire (17)	1964	Dubois / Jijé	Album 15: Mon ami Red, 1965	4-5
La fille du canyon (46)	1976	Philip / Jijé	Album 16: La fille du canyon, 1977	4-5
Le Grand Calumet (46)	1977	Philip / Jijé	Album 17: La grand calumet, 1978	4-5
