Tie no	Home team	Score	Away team	Date
1	Chester	1–0	Luton Town	29 January 1977
2	Liverpool	3–0	Carlisle United	29 January 1977
3	Nottingham Forest	3–3	Southampton	29 January 1977
Replay	Southampton	2–1	Nottingham Forest	1 February 1977
4	Blackburn Rovers	3–0	Orient	29 January 1977
5	Aston Villa	3–0	West Ham United	29 January 1977
6	Northwich Victoria	1–3	Oldham Athletic	29 January 1977
7	Middlesbrough	4–0	Hereford United	29 January 1977
8	Swindon Town	2–2	Everton	29 January 1977
Replay	Everton	2–1	Swindon Town	1 February 1977
9	Ipswich Town	2–2	Wolverhampton Wanderers	29 January 1977
Replay	Wolverhampton Wanderers	1–0	Ipswich Town	2 February 1977
10	Newcastle United	1–3	Manchester City	29 January 1977
11	Manchester United	1–0	Queens Park Rangers	29 January 1977
12	Cardiff City	3–2	Wrexham	29 January 1977
13	Port Vale	2–1	Burnley	29 January 1977
14	Arsenal	3–1	Coventry City	29 January 1977
15	Colchester United	1–1	Derby County	29 January 1977
Replay	Derby County	1–0	Colchester United	2 February 1977
16	Birmingham City	1–2	Leeds United	29 January 1977
