Season	Series	Team	Races	Wins
2005	Australian Formula Ford Championship	GK Martin P/L	6	2
2005	New South Wales Formula Ford Championship	Borland Racing Developments	18	11
2005	Victorian Formula Ford Championship	Borland Racing Developments	15	6
2006	Australian Formula Ford Championship	CAMS Rising Star	23	8
2006	British Formula Ford Championship	Alan Docking Racing	8	1
2007	British Formula Three Championship	Alan Docking Racing	22	0
2007-08	A1 Grand Prix	A1 Team Australia	12	0
2008	British Formula Three Championship	Räikkönen Robertson Racing	22	0
2008–09	A1 Grand Prix	A1 Team Australia	14	0
2009	Formula Renault 3.5 Series	Comtec Racing	7	0
2009	Superleague Formula	Rangers F.C.	12	0
2009	Australian Mini Challenge	BMW Group Australia	2	0
2010	Superleague Formula	Beijing Guoan	26	6
2010	Superleague Formula	Atlético Madrid	3	0
2011	Superleague Formula	Australia	6	2
2012	World Endurance Championship	ADR - Delta	8	0
