Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Sociedad	30	46	21	4	5	46	22	+24
2	Real Gijón	30	45	19	7	4	55	22	+33
3	RC Celta	30	36	14	8	8	43	25	+18
4	CA Osasuna	30	35	13	9	8	52	39	+13
5	Real Oviedo	30	35	15	5	10	57	38	+19
6	Rayo Vallecano	30	30	13	4	13	45	31	+14
7	Club Ferrol	30	30	13	4	13	41	30	+11
8	CF Calvo Sotelo	30	30	10	10	10	38	38	0
9	Real Valladolid	30	29	11	7	12	38	43	-5
10	Gimnástica Torrelavega	30	28	12	4	14	33	53	-20
11	CD Tenerife	30	28	11	6	13	40	47	-7
12	Real Santander	30	26	12	6	16	42	53	-11
13	UP Langreo	30	25	9	7	14	32	42	-10
14	Burgos CF	30	23	7	9	14	40	49	-9
15	CD Logroñés	30	18	5	8	17	16	47	-31
16	SD Indauchu	30	16	5	6	19	17	56	-39
