Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	12 December 1977	Adelaide , Australia	Grass	Tim Gullikson	6–3, 4–6, 6–3, 2–6, 4–6
Winner	30 July 1978	Kitzbuhl , Austria	Clay	Vladimir Zednik	6–1, 6–4, 6–0
Runner-up	23 March 1981	Stuttgart Indoor , Germany	Hard (I)	Ivan Lendl	3–6, 0–6, 7–6, 3–6
Winner	18 May 1981	Munich , Germany	Clay	Christophe Roger-Vasselin	4–6, 6–2, 2–6, 6–1, 6–1
Runner-up	17 July 1981	Cincinnati, Ohio , United States	Hard	John McEnroe	3–6, 4–6
Runner-up	5 October 1981	Brisbane , Australia	Grass	Mark Edmondson	6–7, 6–3, 4–6
Runner-up	14 December 1981	Sydney Outdoor , Australia	Grass	Tim Wilkison	4–6, 6–7, 3–6
Runner-up	27 April 1982	Hilton Head WCT, South Carolina , United States	Clay	Van Winitsky	4–6, 4–6
Runner-up	20 June 1983	Wimbledon , London	Grass	John McEnroe	2–6, 2–6, 2–6
Winner	7 January 1985	Auckland , New Zealand	Hard	Wally Masur	7–5, 6–0, 2–6, 6–4
