Date	Course	Distance	Type	Winner	Race Leader
15 May	Milan to Turin	km (mi)	Plain stage	Giordano Cottur ( ITA )	Giordano Cottur ( ITA )
16 May	Turin to Genoa	km (mi)	Plain stage	Mario Ricci ( ITA )	Giordano Cottur ( ITA )
17 May	Genoa to Parma	km (mi)	Stage with mountain(s)	Luciano Maggini ( ITA )	Giordano Cottur ( ITA )
18 May	Parma to Viareggio	km (mi)	Plain stage	Luigi Casola ( ITA )	Giordano Cottur ( ITA )
19 May	Rest day	Rest day	Rest day	Rest day	Rest day
20 May	Viareggio to Siena	km (mi)	Plain stage	Adolfo Leoni ( ITA )	Giordano Cottur ( ITA )
21 May	Siena to Rome	km (mi)	Plain stage	Luigi Casola ( ITA )	Giordano Cottur ( ITA )
22 May	Rome to Pescara	km (mi)	Stage with mountain(s)	Antonio Bevilacqua ( ITA )	Giordano Cottur ( ITA )
23 May	Pescara to Bari	km (mi)	Plain stage	Adolfo Leoni ( ITA )	Giordano Cottur ( ITA )
24 May	Rest day	Rest day	Rest day	Rest day	Rest day
25 May	Bari to Naples	km (mi)	Stage with mountain(s)	Nedo Logli ( ITA )	Vito Ortelli ( ITA )
26 May	Naples to Fiuggi	km (mi)	Plain stage	Italo De Zan ( ITA )	Vito Ortelli ( ITA )
27 May	Fiuggi to Perugia	km (mi)	Plain stage	Désiré Keteleer ( BEL )	Vito Ortelli ( ITA )
28 May	Rest day	Rest day	Rest day	Rest day	Rest day
29 May	Perugia to Florence	km (mi)	Plain stage	Oreste Conte ( ITA )	Vito Ortelli ( ITA )
30 May	Florence to Bologna	km (mi)	Stage with mountain(s)	Bruno Pasquini ( ITA )	Vito Ortelli ( ITA )
31 May	Bologna to Udine	km (mi)	Plain stage	Oreste Conte ( ITA )	Fiorenzo Magni ( ITA )
1 June	Udine to Auronzo di Cadore	km (mi)	Stage with mountain(s)	Vincenzo Rossello ( ITA )	Ezio Cecchi ( ITA )
2 June	Rest day	Rest day	Rest day	Rest day	Rest day
3 June	Auronzo di Cadore to Cortina d'Ampezzo	km (mi)	Stage with mountain(s)	Fausto Coppi ( ITA )	Ezio Cecchi ( ITA )
4 June	Cortina d'Ampezzo to Trento	km (mi)	Stage with mountain(s)	Fausto Coppi ( ITA )	Fiorenzo Magni ( ITA )
5 June	Trento to Brescia	km (mi)	Plain stage	Elio Bertocchi ( ITA )	Fiorenzo Magni ( ITA )
6 June	Brescia to Milan	km (mi)	Plain stage	Fiorenzo Magni ( ITA )	Fiorenzo Magni ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)	km (mi)
