Title	Series	Director	Production Number	Release date
Pizzicato Pussycat	MM	I. Freleng	1320	1955-01-01
Feather Dusted	MM	Robert McKimson	1295	1955-01-15
Pests for Guests	MM	I. Freleng	1321	1955-01-29
Beanstalk Bunny	MM	Charles M. Jones	1332	1955-02-12
All Fowled Up	LT	Robert McKimson	1325	1955-02-19
Stork Naked	MM	I. Freleng	1326	1955-02-26
Lighthouse Mouse	MM	Robert McKimson	1328	1955-03-12
Sahara Hare	LT	I. Freleng	1343	1955-03-26
Sandy Claws	LT	I. Freleng	1331	1955-04-02
The Hole Idea	LT	Robert McKimson	1330	1955-04-16
Ready, Set, Zoom!	LT	Charles M. Jones	1327	1955-04-30
Hare Brush	MM	I. Freleng	1340	1955-05-07
Past Perfumance	MM	Charles M. Jones	1329	1955-05-21
Tweety's Circus	MM	I. Freleng	1334	1955-06-04
Rabbit Rampage	LT	Charles M. Jones	1341	1955-06-11
Lumber Jerks	LT	I. Freleng	1305	1955-06-25
This Is a Life?	MM	I. Freleng	1342	1955-07-09
Double or Mutton	LT	Charles M. Jones	1343	1955-07-23
Jumpin' Jupiter	MM	Charles M. Jones	1338	1955-08-06
A Kiddie's Kitty	MM	I. Freleng	1350	1955-08-20
Hyde and Hare	LT	I. Freleng	1339	1955-08-27
Dime to Retire	LT	Robert McKimson	1333	1955-09-03
Speedy Gonzales	MM	I. Freleng	1345	1955-09-17
Knight-mare Hare	MM	Chuck Jones	1349	1955-10-01
Two Scent's Worth	MM	Charles M. Jones	1377	1955-10-15
Red Riding Hoodwinked	LT	I. Freleng	1346	1955-10-29
Roman Legion-Hare	LT	Friz Freleng	1384	1955-11-12
Heir-Conditioned	LT	Friz Freleng	1393	1955-11-26
Guided Muscle	LT	Charles M. Jones	1344	1955-12-10
Pappy's Puppy	MM	Friz Freleng	1378	1955-12-17
One Froggy Evening	MM	Charles M. Jones	1335	1955-12-31
