Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Points
Beddau RFC	22	19	0	3	654	321	85	57
Bargoed RFC	22	17	0	5	665	436	89	51
Newbridge RFC	22	17	0	5	516	281	63	51
Pontypool RFC	22	15	0	7	515	370	59	45
Fleur De Lys RFC	22	10	0	12	422	523	49	30
UWIC RFC	22	9	1	12	625	604	74	28
Newport Saracens RFC	22	9	1	12	368	457	46	28
Llanharan RFC	22	9	0	13	546	565	66	27
Caerphilly RFC	22	9	0	14	402	572	47	24
Blackwood RFC	22	6	1	15	433	511	51	19
Abercynon RFC	22	5	2	15	365	718	45	17
Ystrad Rhondda RFC	22	5	1	16	417	570	47	16
