Season	Series	Team Name	Races	Wins	Poles	Podiums	Points	Final Placing
2007	Formula Palmer Audi	Audi Russia Motorsport	20	0	0	0	74	19th
2007	Formula Palmer Audi Autumn Trophy	Audi Russia Motorsport	6	0	0	0	41	12th
2008	Formula Palmer Audi	Audi Russia Motorsport	20	0	0	0	137	11th
2008	Formula Palmer Audi Autumn Trophy	Audi Russia Motorsport	6	0	0	0	42	10th
2008	Formula Renault UK Winter Series	Falcon Motorsport	2	0	0	0	10	22nd
2009	British Formula Three National Class	Team West-Tec	16	0	0	4	108	4th
2009	Formula Renault UK	Tempus Sport	2	0	0	0	0	32nd
2009	Formula Palmer Audi	Audi Russia Motorsport	1	0	0	0	5	33rd
2010	British Formula Three	Fortec Motorsport	30	0	0	0	1	18th
2010	Formula Palmer Audi	MotorSport Vision	7	1	0	3	104	13th
2011	FIA Formula Two Championship	MotorSport Vision	16	0	0	0	14	18th
2011	British Formula Three	Hitech Racing	9	0	0	0	2	24th
2012	Auto GP World Series	Campos Racing	14	0	0	0	34	13th
