Name	Height	Weight	Spike	2008 club
Nikola Kovačević Category:Articles with hCards	m ()	kg (lb)	cm (in)	RPA Perugia
Dejan Bojović Category:Articles with hCards	m ()	kg (lb)	cm (in)	Gabeca Montichiari
Novica Bjelica Category:Articles with hCards	m ()	kg (lb)	cm (in)	Copra Nordmeccanica
Bojan Janić Category:Articles with hCards	m ()	kg (lb)	cm (in)	Marmi Lanza Verona
Vlado Petković Category:Articles with hCards	m ()	kg (lb)	cm (in)	Budućnost Podgorica
Marko Samardžić Category:Articles with hCards	m ()	kg (lb)	cm (in)	Tours VB
Nikola Grbić Category:Articles with hCards	m ()	kg (lb)	cm (in)	Trentino Volley
Miloš Nikić Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sparkling Milano
Andrija Gerić Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lube Banca Marche
Ivan Miljković Category:Articles with hCards	m ()	kg (lb)	cm (in)	M. Roma Volley
Saša Starović Category:Articles with hCards	m ()	kg (lb)	cm (in)	Budućnost Podgorica
Marko Podraščanin Category:Articles with hCards	m ()	kg (lb)	cm (in)	Famigliulo Corigliano
