Date	Ship	Nationality	Tonnage	Fate
26 May 1940	Stanhall	UK	4,831	Sunk
31 May 1940	Orangemoor	UK	5,775	Sunk
2 June 1940	Polycarp	UK	3,577	Sunk
11 June 1940	Mount Hymettus	Greece	5,820	Sunk
12 June 1940	Earlspark	UK	5,250	Sunk
14 June 1940	Antonis Georgandis	Greece	3,557	Sunk
16 June 1940	Wellington Star	UK	13,212	Sunk
19 August 1940	Ampleforth	UK	4,576	Sunk
28 August 1940	Elle	Finland	3,868	Sunk
1 September 1940	Efploia	Greece	3,867	Sunk
12 October 1940	Saint-Malo	Canada	5,799	Sunk
18 October 1940	Blairspey	UK	4,155	Damaged
18 October 1940	Creekirk	UK	3,917	Sunk
19 October 1940	Assyrian	UK	2,962	Sunk
19 October 1940	Soesterberg	Netherlands	1,904	Sunk
30 November 1940	Aracataca	UK	5,378	Sunk
1 December 1940	Appalachee	UK	8,826	Sunk
1 December 1940	Loch Ranza	UK	4,958	Damaged
2 December 1940	Kavak	UK	2,782	Sunk
2 December 1940	Lady Glanely	UK	5,497	Sunk
14 February 1941	Holystone	UK	5,462	Sunk
17 February 1941	Gairsoppa	UK	5,237	Sunk
4 June 1941	Trecarrell	UK	5,271	Sunk
9 June 1941	Trevarrack	UK	1,190	Sunk
18 October 1941	HMSBroadwater	UK	1,190	Sunk
