Date	Visitor	Score	Home	Leading scorer	Record
1 April 2008	Knicks	115–119	Bucks	Michael Redd (36)	25–48
2 April 2008	Bucks	110–109	Wizards	Charlie Villanueva (24)	26–48
4 April 2008	Pacers	105–101	Bucks	Michael Redd (28)	26–49
6 April 2008	Bucks	97–105	Pacers	Michael Redd (24)	26–50
8 April 2008	Celtics	107–104	Bucks	Michael Redd (25)	26–51
9 April 2008	Bucks	93–111	Raptors	Charlie Villanueva (38)	26–52
11 April 2008	Bucks	86–102	Celtics	Michael Redd (18)	26–53
12 April 2008	Nets	111–98	Bucks	Desmond Mason (18)	26–54
14 April 2008	Bulls	151–135	Bucks	Andrew Bogut (25)	26–55
16 April 2008	Bucks	101–110	Timberwolves	Ramon Sessions (25)	26–56
