Date	Opponent	Score	Loss	Record
July 1	Athletics	7 - 6	Atherton (5-5)	46-31
July 2	Angels	6 - 3	Clancy (6-9)	46-32
July 3	Angels	4 - 0	John (4-7)	47-32
July 4	Angels	6 - 3	Romanick (8-9)	48-32
July 5	Mariners	10 - 8	Beattie (8-8)	49-32
July 6	Mariners	9 - 2	Langston (6-7)	50-32
July 7	Mariners	8 - 4	Clancy (6-10)	50-33
July 8	Mariners	7 - 1	Gott (5-3)	50-34
July 12	@ Athletics	7 - 4	Lamp (4-4)	50-35
July 13	@ Athletics	6 - 3	Burris (8-4)	51-35
July 14	@ Athletics	2 - 1	Caudill (8-2)	52-35
July 15	@ Athletics	6 - 3	Young (2-1)	53-35
July 16	@ Angels	3 - 0	Gott (5-4)	53-36
July 17	@ Angels	5 - 3	Acker (2-5)	53-37
July 18	@ Angels	8 - 2	Zahn (9-7)	54-37
July 19	@ Mariners	8 - 1	Vande Berg (6-9)	55-37
July 20	@ Mariners	12 - 7	Mirabella (1-4)	56-37
July 21	@ Mariners	9 - 3	Lamp (4-5)	56-38
July 22	@ Mariners	5 - 3	Langston (8-8)	57-38
July 23	@ Royals	9 - 8	Jackson (6-2)	57-39
July 23	@ Royals	7 - 2	Gott (5-5)	57-40
July 24	@ Royals	5 - 4	Stieb (11-4)	57-41
July 25	@ Royals	5 - 4 (13)	Clark (0-1)	57-42
July 27	Rangers	4 - 2	Alexander (8-5)	57-43
July 28	Rangers	5 - 4	Jackson (6-3)	57-44
July 29	Rangers	6 - 2	Darwin (6-6)	58-44
July 30	Royals	7 - 4	Clancy (7-11)	58-45
July 31	Royals	6 - 5	Wills (1-2)	59-45
