Rider	Bike	Laps	Time	Grid
Troy Bayliss	Ducati 1098 F08	22	36:50.907	1
Carlos Checa	Honda CBR1000RR	22	+2.132	6
Max Neukirchner	Suzuki GSX-R1000	22	+2.179	5
Yukio Kagayama	Suzuki GSX-R1000	22	+10.919	7
Troy Corser	Yamaha YZF-R1	22	+11.051	4
Jakub Smrz	Ducati 1098 RS 08	22	+11.979	8
Ryuichi Kiyonari	Honda CBR1000RR	22	+15.184	13
Makoto Tamada	Kawasaki ZX-10R	22	+18.395	10
Gregorio Lavilla	Honda CBR1000RR	22	+18.634	15
Max Biaggi	Ducati 1098 RS 08	22	+20.699	18
Régis Laconi	Kawasaki ZX-10R	22	+25.759	11
Kenan Sofuoğlu	Honda CBR1000RR	22	+26.064	21
Ayrton Badovini	Kawasaki ZX-10R	22	+35.582	20
Karl Muggeridge	Honda CBR1000RR	22	+36.266	19
Shinichi Nakatomi	Yamaha YZF-R1	22	+37.215	17
Ruben Xaus	Ducati 1098 RS 08	22	+37.286	3
Sébastien Gimbert	Yamaha YZF-R1	22	+39.037	23
Russell Holland	Honda CBR1000RR	22	+45.162	24
Shuhei Aoyama	Honda CBR1000RR	22	+1:04.895	26
Arie Vos	Ducati 1098 RS 08	22	+1:05.022	25
Loic Napoleone	Yamaha YZF-R1	22	+1 22.777	29
Roberto Rolfo	Honda CBR1000RR	20	+2 Laps	22
Michel Fabrizio	Ducati 1098 F08	9	Accident	12
Fonsi Nieto	Suzuki GSX-R1000	9	Retirement	9
David Checa	Yamaha YZF-R1	6	Accident	14
Luca Morelli	Honda CBR1000RR	6	Retirement	27
Noriyuki Haga	Yamaha YZF-R1	1	Accident	2
Vittorio Iannuzzo	Kawasaki ZX-10R	0	Not started	28
