Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
44	February 2	@ Golden State	L 111–114 (OT)	Damon Stoudamire (25)	Oliver Miller (7)	Damon Stoudamire (11)	Oakland Coliseum 15,025	12-32
45	February 3	@ L.A. Clippers	W 119–113 (OT)	Damon Stoudamire (25)	Oliver Miller (11)	Damon Stoudamire (6)	Los Angeles Memorial Sports Arena 5,846	13-32
46	February 5	Portland	L 87–90 (OT)	Tracy Murray , Damon Stoudamire (16)	Tony Massenburg (10)	Damon Stoudamire (7)	SkyDome 20,832	13-33
47	February 7	Milwaukee	L 88–93 (OT)	Oliver Miller (21)	Oliver Miller (12)	Damon Stoudamire (6)	SkyDome 21,335	13-34
48	February 13	@ Miami	W 98–87 (OT)	Damon Stoudamire (29)	Alvin Robertson (12)	Damon Stoudamire (7)	Miami Arena 14,286	14-34
49	February 15	Cleveland	L 76–95 (OT)	Willie Anderson (17)	Oliver Miller (8)	Damon Stoudamire (7)	Copps Coliseum 17,242	14-35
50	February 17	@ Detroit	L 95–108 (OT)	Oliver Miller (25)	Tracy Murray (7)	Damon Stoudamire (9)	The Palace of Auburn Hills 21,454	14-36
51	February 22	@ Utah	L 86–102 (OT)	Damon Stoudamire (23)	Herb Williams (8)	Damon Stoudamire (6)	Delta Center 19,911	14-37
52	February 23	@ Phoenix	L 105–110 (OT)	Damon Stoudamire (29)	Oliver Miller (8)	Damon Stoudamire (10)	America West Arena 19,023	14-38
53	February 25	@ Dallas	L 98–105 (OT)	Damon Stoudamire (23)	Žan Tabak (16)	Damon Stoudamire (10)	Reunion Arena 16,618	14-39
54	February 27	@ Houston	L 100–105 (OT)	Tracy Murray (22)	Žan Tabak (10)	Damon Stoudamire (19)	The Summit 16,200	14-40
