Year	Award	Nominated work	Category	Result
2004	Academy Awards	Maria Full of Grace	Best Actress	Nominated
2004	Screen Actors Guild Awards	Maria Full of Grace	Best Actress	Nominated
2004	Independent Spirit Awards	Maria Full of Grace	Best Female Lead	Won
2004	Chicago Film Critics Association	Maria Full of Grace	Most Promising Performer	Won
2004	Colombian Cinema Award	Maria Full of Grace	Best Actress	Won
2004	Gotham Awards	Maria Full of Grace	Breakthrough Performance	Won
2004	Imagen Foundation Awards	Maria Full of Grace	Best Actress - Film	Won
2004	Los Angeles Film Critics Association Awards	Maria Full of Grace	Award for New Generation	Won
2004	Online Film Critics Society Awards	Maria Full of Grace	Best Breakthrough Performance	Won
2004	Premios ACE	Maria Full of Grace	Best Actress	Won
2004	Seattle International Film Festival	Maria Full of Grace	Best Actress	Won
2004	ShoWest Award	Maria Full of Grace	International Star of the Year	Won
2004	Berlin International Film Festival	Maria Full of Grace	Best Actress	Won
2004	Broadcast Film Critics Association	Maria Full of Grace	Best Actress	Nominated
2004	Chlotrudis Awards	Maria Full of Grace	Best Actress	Nominated
2004	Satellite Awards	Maria Full of Grace	Best Actress in a Motion Picture, Drama	Nominated
2005	London Critics Circle Film Awards	Maria Full of Grace	Actress of the Year	Nominated
