Name	Type	Entered service	Water depth	Location
Deepwater Navigator	ship	2000	ft (m)	Brazil
Discoverer 534	ship	1975/1991	ft (m)	India
Discoverer Seven Seas	ship	1976/1997	ft (m)	India
GSF Celtic Sea	semi	1982/1998	ft (m)	Angola
Jack Bates	semi	1986/1997	ft (m)	Australia
Jim Cunningham	semi	1982/1995	ft (m)	Angola
M.G. Hulme, Jr.	semi	1983/1996	ft (m)	India
Sedco 702	semi	1973/2007	ft (m)	Nigeria
Sedco 706	semi	1976/1994/ 2008	ft (m)	Brazil
Sedco 707	semi	1976/1997	ft (m)	Brazil
Sedco 709	semi	1977/1999	ft (m)	Malaysia
Sedco 710	semi	1983	ft (m)	Brazil
Sovereign Explorer	semi	1984	ft (m)	Brazil
Transocean Marianas	semi	1979/1998	ft (m)	NIgeria
Transocean Rather	semi	1988	ft (m)	Angola
Transocean Richardson	semi	1988	ft (m)	Angola
