Name	Pos.	Height	Weight	2012 club
Laura Ester Category:Articles with hCards	GK	m ()	kg (lb)	CN Sabadell
Marta Bach Category:Articles with hCards	CB	m ()	kg (lb)	CN Mataro
Anna Espar Category:Articles with hCards	D	m ()	kg (lb)	CN Sabadell
Roser Tarragó Category:Articles with hCards	D	m ()	kg (lb)	CN Mataro
Matilde Ortiz Category:Articles with hCards	CB	m ()	kg (lb)	CN Sabadell
Jennifer Pareja Category:Articles with hCards	D	m ()	kg (lb)	CN Sabadell
Lorena Miranda Category:Articles with hCards	CB	m ()	kg (lb)	CW Dos Hermanas
Pilar Peña Carrasco Category:Articles with hCards	D	m ()	kg (lb)	CN Sabadell
Andrea Blas Category:Articles with hCards	CF	m ()	kg (lb)	EW Zaragoza
Ona Meseguer Category:Articles with hCards	D	m ()	kg (lb)	CN Sant Andreu
Maica García Godoy Category:Articles with hCards	CF	m ()	kg (lb)	CN Sabadell
Laura López Category:Articles with hCards	D	m ()	kg (lb)	CN Madrid Moscardo
Ana Copado Category:Articles with hCards	GK	m ()	kg (lb)	CN Sant Andreu
