Year	Winner and nominees	Original title	Country	Director
1992 (7th)	Indochine	Indochine	France	Régis Wargnier
1992 (7th)	Hidden Agenda	Hidden Agenda	United Kingdom	Ken Loach
1992 (7th)	Riff-Raff	Riff-Raff	United Kingdom	Ken Loach
1993 (8th)	Three Colors: Blue	Trois couleurs: Bleu	France Poland	Krzysztof Kieślowski
1993 (8th)	The Crying Game	The Crying Game	United Kingdom	Neil Jordan
1993 (8th)	Peter's Friends	Peter's Friends	United Kingdom	Kenneth Branagh
1994 (9th)	The Snapper	The Snapper	United Kingdom	Stephen Frears
1994 (9th)	Raining Stones	Raining Stones	United Kingdom	Ken Loach
1994 (9th)	The Remains of the Day	The Remains of the Day	United Kingdom	James Ivory
1995 (10th)	Lamerica	Lamerica	Italy	Gianni Amelio
1995 (10th)	Carrington	Carrington	United Kingdom France	Christopher Hampton
1995 (10th)	The Madness of King George	The Madness of King George	United Kingdom	Nicholas Hytner
1996 (11th)	Secrets & Lies	Secrets & Lies	United Kingdom France	Mike Leigh
1996 (11th)	Breaking the Waves	Breaking the Waves	Denmark France Netherlands Norway Sweden	Lars von Trier
1996 (11th)	Ulysses' Gaze	Το βλέμμα του Οδυσσέα	France Greece Italy	Theodoros Angelopoulos
1997 (12th)	The Full Monty	The Full Monty	United Kingdom	Peter Cattaneo
1997 (12th)	Brassed Off	Brassed Off	United Kingdom	Mark Herman
1997 (12th)	The English Patient	The English Patient	United Kingdom United States	Anthony Minghella
1998 (13th)	The Boxer	The Boxer	Ireland United States	Jim Sheridan
1998 (13th)	April	Aprile	France Italy	Nanni Moretti
1998 (13th)	Marius and Jeannette	Marius et Jeannette	France	Robert Guédiguian
1998 (13th)	The Thief	Vor	Russia	Pavel Chukhrai
1999 (14th)	Life Is Beautiful	La vita è bella	Italy	Roberto Benigni
1999 (14th)	Black Cat, White Cat	Црна мачка, бели мачор / Crna mačka, beli mačor	France Germany	Emir Kusturica
1999 (14th)	The Dinner Game	Le Dîner de Cons	France	Francis Veber
1999 (14th)	It All Starts Today	Ça commence aujourd'hui	France	Bertrand Tavernier
