Week	Date	Opponent	Result	Stadium	Record	Attendance
1	September 12, 2004	Baltimore Ravens	W 20–3	Cleveland Browns Stadium	1–0	73,068
2	September 19, 2004	Dallas Cowboys	L 12–19	Texas Stadium	1–1	63,119
3	September 26, 2004	New York Giants	L 10–27	Giants Stadium	1–2	78,521
4	October 3, 2004	Washington Redskins	W 17–13	Cleveland Browns Stadium	2–2	73,348
5	October 10, 2004	Pittsburgh Steelers	L 23–34	Heinz Field	2–3	63,609
6	October 17, 2004	Cincinnati Bengals	W 34–17	Cleveland Browns Stadium	3–3	73,263
7	October 24, 2004	Philadelphia Eagles	L 31–34	Cleveland Browns Stadium	3–4	73,394
8	Bye	Bye	Bye	Bye	Bye	Bye
9	November 7, 2004	Baltimore Ravens	L 13–27	M&T Bank Stadium	3–5	69,781
10	November 14, 2004	Pittsburgh Steelers	L 10–24	Cleveland Browns Stadium	3–6	73,703
11	November 21, 2004	New York Jets	L 7–10	Cleveland Browns Stadium	3–7	72,547
12	November 28, 2004	Cincinnati Bengals	L 48–58	Paul Brown Stadium	3–8	65,677
13	December 5, 2004	New England Patriots	L 15–42	Cleveland Browns Stadium	3–9	73,028
14	December 12, 2004	Buffalo Bills	L 7–37	Ralph Wilson Stadium	3–10	72,330
15	December 19, 2004	San Diego Chargers	L 0–21	Cleveland Browns Stadium	3–11	72,489
16	December 26, 2004	Miami Dolphins	L 7–10	Pro Player Stadium	3–12	73,169
17	January 2, 2005	Houston Texans	W 22–14	Reliant Stadium	4–12	70,724
