State	Electors	Bush	Kerry	Nader	Badnarik	Peroutka	Cobb	Others	Margin	Total
Alabama	9	1,176,394	693,933	6,701	3,529	1,994	0	898	482,461	1,883,449
Alaska	3	190,889	111,025	5,069	1,675	2,092	1,058	790	79,864	312,598
Arizona	10	1,104,294	893,524	2,773	11,856	0	138	0	210,770	2,012,585
Arkansas	6	572,898	469,953	6,171	2,352	2,083	1,488	0	102,945	1,054,945
California	55	5,509,826	6,745,485	20,714	50,165	26,645	40,771	27,747	−1,235,659	12,421,353
Colorado	9	1,101,255	1,001,732	12,718	7,664	2,562	1,591	2,808	99,523	2,130,330
Connecticut	7	693,826	857,488	12,969	3,367	1,543	9,564	12	−163,662	1,578,769
Delaware	3	171,660	200,152	2,153	586	289	250	100	−28,492	375,190
District of Columbia	3	21,256	202,970	1,485	502	0	737	636	−181,714	227,586
Florida	27	3,964,522	3,583,544	32,971	11,996	6,626	3,917	6,234	380,978	7,609,810
Georgia	15	1,914,254	1,366,149	2,231	18,387	580	228	46	548,105	3,301,875
Hawaii	4	194,191	231,708	0	1,377	0	1,737	0	−37,517	429,013
Idaho	4	409,235	181,098	1,115	3,844	3,084	58	13	228,137	598,447
Illinois	21	2,345,946	2,891,550	3,571	32,442	440	241	132	−545,604	5,274,322
Indiana	11	1,479,438	969,011	1,328	18,058	0	102	65	510,427	2,468,002
Iowa	7	751,957	741,898	5,973	2,992	1,304	1,141	1,643	10,059	1,506,908
Kansas	6	736,456	434,993	9,348	4,013	2,899	33	14	301,463	1,187,756
Kentucky	8	1,069,439	712,733	8,856	2,619	2,213	0	22	356,706	1,795,882
Louisiana	9	1,102,169	820,299	7,032	2,781	5,203	1,276	4,346	281,870	1,943,106
Maine	4	330,201	396,842	8,069	1,965	735	2,936	4	−66,641	740,752
Maryland	10	1,024,703	1,334,493	11,854	6,094	3,421	3,632	2,481	−309,790	2,386,678
Massachusetts	12	1,071,109	1,803,800	4,806	15,022	0	10,623	7,028	−732,691	2,912,388
Michigan	17	2,313,746	2,479,183	24,035	10,552	4,980	5,325	1,431	−165,437	4,839,252
Minnesota	10	1,346,695	1,445,014	18,683	4,639	3,074	4,408	5,874	−98,319	2,828,387
Mississippi	6	684,981	458,094	3,177	1,793	1,759	1,073	1,268	226,887	1,152,145
Missouri	11	1,455,713	1,259,171	1,294	9,831	5,355	0	0	196,542	2,731,364
Montana	3	266,063	173,710	6,168	1,733	1,764	996	11	92,353	450,445
Nebraska	5	512,814	254,328	5,698	2,041	1,314	978	1,013	258,486	778,186
Nevada	5	418,690	397,190	4,838	3,176	1,152	853	3,688	21,500	829,587
New Hampshire	4	331,237	340,511	4,479	372	161	0	978	−9,274	677,738
New Jersey	15	1,670,003	1,911,430	19,418	4,514	2,750	1,807	1,769	−241,427	3,611,691
New Mexico	5	376,930	370,942	4,053	2,382	771	1,226	0	5,988	756,304
New York	31	2,962,567	4,314,280	99,873	11,607	207	87	2,415	−1,351,713	7,391,036
North Carolina	15	1,961,166	1,525,849	1,805	11,731	0	108	348	435,317	3,501,007
North Dakota	3	196,651	111,052	3,756	851	514	0	9	85,599	312,833
Ohio	20	2,859,768	2,741,167	0	14,676	11,939	192	166	118,601	5,627,908
Oklahoma	7	959,792	503,966	0	0	0	0	0	455,826	1,463,758
Oregon	7	866,831	943,163	0	7,260	5,257	5,315	8,956	−76,332	1,836,782
Pennsylvania	21	2,793,847	2,938,095	2,656	21,185	6,318	6,319	1,170	−144,248	5,769,590
Rhode Island	4	169,046	259,765	4,651	907	339	1,333	1,093	−90,719	437,134
South Carolina	8	937,974	661,699	5,520	3,608	5,317	1,488	2,124	276,275	1,617,730
South Dakota	3	232,584	149,244	4,320	964	1,103	0	0	83,340	388,215
Tennessee	11	1,384,375	1,036,477	8,992	4,866	2,570	33	6	347,898	2,437,319
Texas	34	4,526,917	2,832,704	9,159	38,787	1,636	1,014	548	1,694,213	7,410,765
Utah	5	663,742	241,199	11,305	3,375	6,841	39	1,343	422,543	927,844
Vermont	3	121,180	184,067	4,494	1,102	0	0	1,466	−62,887	312,309
Virginia	13	1,716,959	1,454,742	2,393	11,032	10,161	104	2,976	262,217	3,198,367
Washington	11	1,304,894	1,510,201	23,283	11,955	3,922	2,974	1,855	−205,307	2,859,084
West Virginia	5	423,778	326,541	4,063	1,405	82	5	13	97,237	755,887
Wisconsin	10	1,478,120	1,489,504	16,390	6,464	0	2,661	3,868	−11,384	2,997,007
Wyoming	3	167,629	70,776	2,741	1,171	631	0	480	96,853	243,428
U.S Total	538	62,040,610	59,028,444	465,151	397,265	143,630	119,859	99,887	3,012,166	122,294,846
