Date	Competition	Venue	Result	Score	Goals
14/3/97	Super League II	Odsal Stadium	W	58–20	McNamara 9/10
21/3/97	Super League II	Boundary Park	W	30–18	McNamara 4/4, Cook 1/1
1/4/97	Super League II	The Jungle	W	38–12	McNamara 3/3, Cook 4/4
6/4/97	Super League II	Odsal Stadium	W	19–14	McNamara 3/3, McNamara 1 DG
11/4/97	Super League II	Central Park	W	22–18	Cook 5/5
18/4/97	Super League II	Stade Sébastien Charléty	W	30–18	McNamara 4/4, Cook 1/1
23/4/97	Super League II	Odsal Stadium	W	28–26	McNamara 4/5
27/4/97	Super League II	Odsal Stadium	W	54–10	McNamara 7/10
11/5/97	Super League II	Odsal Stadium	W	38–18	McNamara 7/7
18/5/97	Super League II	Wilderspool Stadium	W	38–14	McNamara 5/7
23/5/97	Super League II	Odsal Stadium	W	42–28	McNamara 5/8
27/5/97	Super League II	Thrum Hall	W	30–26	Loughlin 2/4, McNamara 1/2
1/6/97	Super League II	The Willows	W	40–24	McNamara 6/7
29/6/97	Super League II	Headingley Stadium	W	32–16	McNamara 6/6
2/7/97	Super League II	Odsal Stadium	W	34–20	McNamara 5/6
6/7/97	Super League II	Knowsley Road	W	38–20	McNamara 5/7
11/7/97	Super League II	Odsal Stadium	W	34–14	Loughlin 3/4, McNamara 2/2
10/8/97	Super League II	Odsal Stadium	W	22–8	McNamara 3/4
16/8/97	Super League II	Don Valley Stadium	W	32–12	McNamara 6/6
22/8/97	Super League II	Odsal Stadium	W	68–0	McNamara 6/14
25/8/97	Super League II	Odsal Stadium	L	18–33	McNamara 3/3
31/8/97	Super League II	The Stoop	L	24–28	McNamara 4/4
14/9/97	Super League II	Odsal Stadium	L	12–25	Loughlin 1/1, McNamara 1/1
