Date	Location	Opponenent	Result	Match type
29 March 2000	Debrecen	Poland	0-0 (draw)	friendly
16 August 2000	Budapest	Austria	1-1 (draw)	friendly
3 September 2000	Budapest	Italy	2-2 (draw)	WC -qualifier
15 August 2001	Budapest	Germany	2-5 (defeat)	friendly
1 September 2001	Tbilisi	Georgia	1-3 (defeat)	WC-qualifier
5 September 2001	Budapest	Romania	0-2 (defeat)	WC-qualifier
6 October 2001	Parma	Italy	0-0 (draw)	WC-qualifier
14 November 2001	Budapest	Macedonia	5-0 (win)	friendly
12 February 2002	Larnaca	Czech Rep.	0-2 (defeat)	friendly
13 February 2002	Limassol	Switzerland	1-2 (defeat)	friendly
8 May 2002	Pécs	Croatia	0-2 (defeat)	friendly
21 August 2002	Budapest	Spain	1-1 (draw)	friendly
7 September 2002	Reykjavík	Iceland	2-0 (win)	friendly
12 October 2002	Stockholm	Sweden	1-1 (draw)	EC-qualifier
16 October 2002	Budapest	San Marino	3-0 (win)	EC -qualifier
20 November 2002	Budapest	Moldova	1-1 (draw)	friendly
12 February 2003	Larnaca	Bulgaria	0-1 (defeat)	friendly
29 March 2003	Chorzów	Poland	0-0 (draw)	EC -qualifier
2 April 2003	Budapest	Sweden	1-2 (defeat)	EC -qualifier
30 April 2003	Budapest	Luxembourg	5-1 (win)	friendly
19 February 2004	Limassol	Latvia	2-1 (win)	friendly
21 February 2004	Limassol	Romania	0-3 (defeat)	friendly
9 February 2011	Dubai	Azerbaijan	2-0 (win)	friendly
29 March 2011	Amsterdam	Netherlands	3-5 (defeat)	EC -qualifier
3 June 2011	Luxembourg	Luxembourg	1-0 (win)	friendly
