No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
13	1	" It's Alive! "	Tony Goldwyn	Daniel Cerone	September30,2007	N/A
14	2	"Waiting to Exhale"	Marcos Siega	Clyde Phillips	October7,2007	N/A
15	3	"An Inconvenient Lie"	Tony Goldwyn	Melissa Rosenberg	October14,2007	N/A
16	4	"See-Through"	Nick Gomez	Scott Buck	October21,2007	N/A
17	5	" The Dark Defender "	Keith Gordon	Tim Schlattmann	October28,2007	N/A
18	6	"Dex, Lies, and Videotape"	Nick Gomez	Lauren Gussis	November4,2007	N/A
19	7	"That Night, A Forest Grew"	Jeremy Podeswa	Daniel Cerone	November11,2007	N/A
20	8	"Morning Comes"	Keith Gordon	Scott Buck	November18,2007	N/A
21	9	"Resistance is Futile"	Marcos Siega	Melissa Rosenberg	November25,2007	N/A
22	10	"There's Something About Harry"	Steve Shill	Scott Reynolds	December2,2007	N/A
