Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
Date	Visitor	Score	Home	OT	Leading scorer	Attendance	Record
3 January 2008	SuperSonics	96–104	Suns	NA	Amar'e Stoudemire (34)	18,422	23–9
5 January 2008	Hornets	118–113	Suns	NA	Leandro Barbosa (28)	18,422	23–10
7 January 2008	Nuggets	115–137	Suns	NA	Shawn Marion (27)	18,422	24–10
9 January 2008	Pacers	122–129	Suns	1	Two-way tie (27)	18,422	25–10
10 January 2008	Suns	86–108	Jazz	NA	Leandro Barbosa (25)	19,911	25–11
12 January 2008	Bucks	114–122	Suns	NA	Steve Nash (35)	18,422	26–11
15 January 2008	Suns	90–97	Clippers	NA	Amar'e Stoudemire (29)	16,063	26–12
17 January 2008	Suns	106–98	Lakers	NA	Leandro Barbosa (22)	18,997	27–12
18 January 2008	Timberwolves	95–115	Suns	NA	Amar'e Stoudemire (23)	18,422	28–12
20 January 2008	Nets	92–116	Suns	NA	Amar'e Stoudemire (28)	18,422	29–12
22 January 2008	Suns	114–105	Bucks	NA	Steve Nash (37)	14,503	30–12
23 January 2008	Suns	107–117	Timberwolves	NA	Amar'e Stoudemire (33)	15,101	30–13
25 January 2008	Suns	110–108	Cavaliers	NA	Raja Bell (27)	20,562	31–13
27 January 2008	Suns	88–77	Bulls	NA	Amar'e Stoudemire (24)	22,245	32–13
29 January 2008	Hawks	92–125	Suns	NA	Amar'e Stoudemire (24)	18,422	33–13
31 January 2008	Spurs	84–81	Suns	NA	Shawn Marion (21)	18,422	33–14
