Rank	List	Candidate name	Gender	Religion	Votes
1	Brotherhood & Development	Victor Batarsa	♂	†	2690
2	United Bethlehem	Antun Salman	♂	†	2164
3	Reform	Hasan Al-Masalma	♂	☪	2005
4	United Bethlehem	Afram Asmari	♂	†	2000
5	Wafaa	Isa Zawahara	♂	☪	1922
6	United Bethlehem	Khalil Chawka	♂	☪	1912
7	Reform	Khalid Jadu	♂	☪	1853
8	Hope & Labour	Zughbi Zughbi	♂	†	1808
9	Reform	Nabil Al-Hraymi	♂	☪	1752
10	Reform	Salih Chawka	♂	☪	1716
11	Reform	Yusuf Al-Natsha	♂	☪	1716
12	Brotherhood & Development	Nina 'Atwan	♀	†	1709
13	Brotherhood & Development	George Sa'ada	♂	†	1687
14	Independent	Nadir Al-Saqa	♂	†	1537
15	United Bethlehem	Duha Al-Bandak	♀	†	1512
