Career Card	Starting career/salary	2nd career/salary	3rd career/salary	4th career/salary	5th career/salary	6th career/salary
Acting	Movie Extra ($5,000)	Understudy ($18,000)	Stage Actor ($35,000)	TV Actor ($80,000)	Movie Actor ($500,000-Chance)	Movie Director ($1,000,000-Chance)
Animation Art/Comics	Comic Book Store Clerk ($5,000)	Art Store Salesperson ($18,000)	Cartoonist ($40,000)	Comic Book Artist ($85,000)	3D Animator ($250,000-Degree)	Special Effects Artist ($600,000-Degree)
Art & Design	Design Intern ($5,000)	Production artist ($21,000)	Graphic Designer ($45,000-Degree)	Interior Desiger ($110,000-Degree)	Automotive Designer ($350,000-Degree)	Fashion Designer ($550,000-Degree)
Aviation	Baggage handler ($5,000)	Flight Attendant ($22,000)	Air Traffic Controller ($45,000)	Navigator ($90,000-Degree)	Helicopter Pilot ($250,000-Degree)	Commercial Airline Pilot ($500,000-PH.D)
Beauty	Nail Care Artist ($5,000)	Hairstylist ($20,000)	Cosmetologist ($45,000)	Salon Owner ($90,000)	Model ($300,000-Chance)	International Model ($500,000-Chance)
Broadcasting	TV Production Assistant ($5,000)	Photojournalist ($20,000)	TV Camera operator ($40,000)	Radio Deejay ($80,000-Degree)	National TV Director ($350,000-Degree)	Television Producer ($650,000-Degree)
Building	Apprentice ($5,000)	Construction worker ($22,000)	Foreman ($45,000)	Landscaper ($90,000)	General Contractor ($250,000)	Project Manager ($600,000-Degree)
Computer/Internet	Web Designer ($5,000)	Web Developer ($20,000)	Computer Repair Specialist ($40,000)	Website Host ($80,000)	Video game Designer ($300,000-Degree)	Internet Guru ($600,000-Degree)
Corporate	Mailroom Clerk ($5,000)	Administrative Assistant ($18,000)	Manager ($50,000-Degree)	Director ($100,000-Degree)	Vice President ($300,000-Degree)	Senior Vice President ($500,000-PH.D.)
Criminal Justice	Morgue Attendant ($5,000)	Police Officer ($25,000)	Homeland Security Agent ($50,000-Degree)	Forensic Specialist ($120,000-Degree)	Prosecutor ($250,000-PH.D.)	Attorney General ($500,000-PH.D.)
Design	Model Maker Intern ($5,000)	Junior Product Designer ($22,000)	Senior Product Designer ($50,000-Degree)	Principal Product Designer ($90,000-Degree)	Product Design Manager ($250,000-Degree)	Design Consultant ($500,000-Degree)
Education	Teaching Assistant ($5,000)	Substitute Teacher ($20,000)	Teacher ($40,000-Degree)	Vice-Principal ($90,000-Degree)	Principal ($250,000-PH.D.)	Superindentent ($600,000-PH.D.)
Environment/Agriculture	Farming Field Hand ($5,000)	Environmental Police Officer ($25,000)	Park Ranger ($45,000)	Farmer ($100,000)	Cattle Rancher ($250,000)	EPA Scientist ($500,000-Degree)
Health	Candy Striper ($5,000)	Occupational Therapist ($25,000)	Nurse ($60,000-Degree)	General Practitioner ($120,000-PH.D.)	Pediatrician ($300,000-PH.D.)	Surgeon ($500,000-PH.D.)
Hospitality	Busboy ($5,000)	Waitress ($20,000)	Hostess ($45,000)	Line Cook ($85,000)	Restaurant Manager ($250,000)	Executive Chef ($500,000-Degree)
Journalism	Newspaper Intern ($5,000)	Ad/Obituary Writer ($21,000)	Reporter ($55,000-Degree)	Feature Writer ($90,000-Degree)	Managing Editor ($200,000-Degree)	Newspaper Magnate ($600,000-Degree)
Military	Private ($5,000)	Sergeant ($21,000)	Lieutenant ($50,000)	Captain ($100,000-Degree)	Major ($250,000-Degree)	Colonel ($400,000-Degree)
Miscellaneous	Strawberry Picker ($5,000)	Homemaker ($18,000)	Nanny ($40,000)	Clown ($80,000)	Wedding/Event Planner ($300,000)	International Translator ($500,000)
Retail/Fashion	Salesclerk ($5,000)	Personal shopper ($21,000)	Sales Manager ($40,000)	Fashion Store Buyer ($80,000)	Fashion Magazine Critic ($250,000)	Fashion Designer ($400,000-Degree)
Music	Music Store Clerk ($5,000)	Voice & Music Teacher ($20,000)	Wedding Singer ($30,000)	Indy Rock Band Member ($60,000)	Rock Band w/#1 Record ($300,000-Chance)	Solo Artist ($600,000-Chance)
Science/Exploration	Lab Assistant ($5,000)	Artifact Researcher ($20,000)	Safari Guide ($40,000)	Archeology Teacher Assistant (75,000-Degree)	Archeology Professor ($320,000-Degree)	Archeologist ($550,000-Degree)
Small Business	Car Wash Attendant ($5,000)	Convenience Store Clerk ($19,000)	Online Auctioneer ($50,000)	Pizza Restaurant Owner ($110,000)	Real Estate Agent ($250,000)	Investment Broker ($500,000-Degree)
Sports	Amateur Athlete ($5,000)	High School Coach ($22,000)	Pro Benchwarmer ($40,000)	Pro Starting Athlete ($120,000-Chance)	Coach ($350,000)	General Manager ($600,000)
Writer/Media	Proofreader ($5,000)	Copywriter ($25,000)	Magazine editor ($45,000-Degree)	Creative Director ($120,000-Degree)	TV Writer ($350,000-Degree)	Screenwriter ($550,000-Degree)
