Date	Visitor	Score	Home	Record
November 1	Calgary	1 – 6	Colorado	8–3–1
November 3	Colorado	5 – 2	Winnipeg	9–3–1
November 5	Colorado	7 – 3	Chicago	10–3–1
November 9	Dallas	1 – 1	Colorado	10–3–2
November 11	Colorado	8 – 4	Vancouver	11–3–2
November 15	Colorado	3 – 7	Anaheim	11–4–2
November 17	Colorado	5 – 3	Calgary	12–4–2
November 18	Calgary	2 – 5	Colorado	13–4–2
November 20	Colorado	3 – 3	Edmonton	13–4–3
November 22	Chicago	2 – 6	Colorado	14–4–3
November 25	Colorado	2 – 2	Montreal	14–4–4
November 28	Colorado	7 – 3	NY Islanders	15–4–4
November 29	Colorado	3 – 4	New Jersey	15–5–4
