Result	No.	Date	Category	Tournament	Surface	Partner	Opponents	Score
Runner-up	1	9 January 2005	250 series	Qatar Open , Qatar	Hard	Andrei Pavel ( ROM )	Albert Costa ( ESP ) Rafael Nadal ( ESP )	3–6, 6–4, 3–6
Runner-up	2	18 September 2005	250 series	China Open , China	Hard	Dmitry Tursunov ( RUS )	Justin Gimelstob ( USA ) Nathan Healey ( AUS )	6–4, 3–6, 2–6
Winner	1	17 October 2005	250 series	Kremlin Cup , Russia	Carpet(i)	Max Mirnyi ( BLR )	Igor Andreev ( RUS ) Nikolay Davydenko ( RUS )	6–1, 6–1
Winner	2	7 January 2007	250 series	Qatar Open , Qatar	Hard	Nenad Zimonjić ( SRB )	Martin Damm ( CZE ) Leander Paes ( IND )	6–1, 7–6 (7–3)
Winner	3	6 May 2007	250 series	Bavarian Championships , Germany	Clay	Philipp Kohlschreiber ( GER )	Jan Hájek ( CZE ) Jaroslav Levinský ( CZE )	6–1, 6–4
Runner-up	3	24 February 2008	500 series	Rotterdam Open , Netherlands	Clay	Philipp Kohlschreiber ( GER )	Tomáš Berdych ( CZE ) Dmitry Tursunov ( RUS )	5–7, 6–3, [7–10]
Winner	4	15 June 2008	250 series	Gerry Weber Open , Germany	Grass	Mischa Zverev ( GER )	Lukáš Dlouhý ( CZE ) Leander Paes ( IND )	3–6, 6–4, [10–3]
Winner	5	5 October 2008	500 series	Japan Open , Japan	Hard	Mischa Zverev ( GER )	Lukáš Dlouhý ( CZE ) Leander Paes ( IND )	6–3, 6–4
Winner	6	14 June 2009	250 series	Queen's Club Championships , United Kingdom	Grass	Wesley Moodie ( RSA )	Marcelo Melo ( BRA ) André Sá ( BRA )	6–4, 4–6, [10–6]
Winner	7	13 June 2010	250 series	Gerry Weber Open , Germany	Grass	Sergiy Stakhovsky ( UKR )	Martin Damm ( CZE ) Filip Polášek ( SVK )	4–6, 7–5, [10–7]
Winner	8	26 February 2011	500 series	Dubai Tennis Championships , United Arab Emirates	Hard	Sergiy Stakhovsky ( UKR )	Jérémy Chardy ( FRA ) Feliciano López ( ESP )	4–6, 6–3, [10–3]
