Date	Opponent#	Rank #	Site	Result	Attendance
September 26	Texas A&M	1	Ohio Stadium • Columbus, OH	W56-13	85,657
October 3	Duke	1	Ohio Stadium • Columbus, OH	W34-10	86,123
October 10	at Michigan State	1	Spartan Stadium • East Lansing, MI	W29-0	75,511
October 17	Minnesota	1	Ohio Stadium • Columbus, OH	W28-8	86,667
October 24	at Illinois	1	Memorial Stadium • Champaign, IL	W48-29	46,208
October 31	20 Northwestern	2	Ohio Stadium • Columbus, OH	W24-10	86,673
November 7	at Wisconsin	3	Camp Randall Stadium • Madison, WI	W24-7	72,578
November 14	at Purdue	3	Ross-Ade Stadium • West Lafayette, IN	W10-7	68,157
November 21	4 Michigan	5	Ohio Stadium • Columbus, OH	W20-9	87,331
January 1	vs. 12 Stanford	2	Rose Bowl • Pasadena , CA ( Rose Bowl )	L17-27	103,839
*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .
