Outcome	Date	Surface	Partner	Opponent	Score
Runner-up	3 October 2005	Hard	Anastasia Rodionova	Maria Elena Camerin Émilie Loit	3–6, 0–6
Runner-up	15 October 2006	Carpet	Iveta Benešová	Francesca Schiavone Květa Peschke	4–6, 7–6, 1–6
Runner-up	6 January 2007	Hard	Iveta Benešová	Dinara Safina Katarina Srebotnik	3–6, 4–6
Winner	6 March 2011	Hard	Dinara Safina	Noppawan Lertcheewakarn Jessica Moore	7–5, 2–6, [10–5]
Winner	30 April 2011	Clay	Alisa Kleybanova	Michaëlla Krajicek Eleni Daniilidou	6–4, 6–2
Winner	21 May 2011	Clay	Andrea Hlaváčková	Klaudia Jans Alicja Rosolska	3–6, 6–0, [10–5]
Runner-up	23 July 2011	Hard	Monica Niculescu	Mariya Koryttseva Tatiana Poutchek	3–6, 6–2, [8–10]
Runner-up	25 September 2011	Hard	Vera Dushevina	Natalie Grandin Vladimíra Uhlířová	6–7 (5–7) , 4–6
Runner-up	22 October 2011	Hard (i)	Anastasia Rodionova	Vania King Yaroslava Shvedova	6–7 (3–7) , 3–6
Runner-up	5 May 2012	Clay	Yaroslava Shvedova	Chuang Chia-jung Zhang Shuai	6–4, 1–6, [9–11]
Winner	23 February 2013	Hard (i)	Kristina Mladenovic	Sofia Arvidsson Johanna Larsson	7–6 (7–5) , 6–3
Runner-up	21 September 2013	Hard	Vania King	Hsieh Su-wei Peng Shuai	3-6, 6-4, [10-12]
