Week	Date	Opponent	Location	Time ( ET )	Result	Record
1	Sun. Sep. 3	Detroit Lions	Three Rivers Stadium	1:00pm	W 23–20	1–0
2	Sun. Sep. 10	at Houston Oilers	Astrodome	1:00pm	W 34–17	2–0
3	Mon. Sep. 18	at Miami Dolphins	Joe Robbie Stadium	9:00pm	L 23–10	2–1
4	Sun. Sep. 24	Minnesota Vikings	Three Rivers Stadium	1:00pm	L 44–24	2–2
5	Sun. Oct. 1	San Diego Chargers	Three Rivers Stadium	4:00pm	W 31–16	3–2
6	Sun. Oct. 8	at Jacksonville Jaguars	Jacksonville Municipal Stadium	1:00pm	L 20–16	3–3
7	Sun. Oct. 15	Bye	Bye	Bye	Bye	Bye
8	Thu. Oct. 19	Cincinnati Bengals	Three Rivers Stadium	8:00pm	L 27–9	3–4
9	Sun. Oct. 29	Jacksonville Jaguars	Three Rivers Stadium	1:00pm	W 24–7	4–4
10	Sun. Nov. 5	at Chicago Bears	Soldier Field	4:00pm	W 37–34 OT	5–4
11	Mon. Nov. 13	Cleveland Browns	Three Rivers Stadium	9:00pm	W 20–3	6–4
12	Sun. Nov. 19	at Cincinnati Bengals	Riverfront Stadium	1:00pm	W 49–31	7–4
13	Sun. Nov. 26	at Cleveland Browns	Cleveland Municipal Stadium	1:00pm	W 20–17	8–4
14	Sun. Dec. 3	Houston Oilers	Three Rivers Stadium	1:00pm	W 21–7	9–4
15	Sun. Dec. 10	at Oakland Raiders	Oakland-Alameda County Coliseum	4:00pm	W 29–10	10–4
16	Sat. Dec. 16	New England Patriots	Three Rivers Stadium	12:30pm	W 41–27	11–4
17	Sun. Dec. 24	at Green Bay Packers	Lambeau Field	1:00pm	L 24–19	11–5
