Team	Average	Points	Played	1988-89	1989-90	1990-1991
Boca Juniors	1.254	143	114	49	43	51
River Plate	1.254	143	114	45	53	45
Independiente	1.237	141	114	55	46	40
San Lorenzo	1.070	122	114	42	35	45
Racing Club	1.061	121	114	42	39	40
Vélez Sársfield	1.053	120	114	33	42	45
Huracán	1.053	40	38	N/A	N/A	40
Newell's Old Boys	1.044	119	114	35	36	48
Rosario Central	1.035	118	114	36	43	39
Argentinos Juniors	1.018	116	114	42	38	36
Estudiantes de La Plata	1.009	115	114	42	34	39
Talleres de Córdoba	0.956	109	114	44	36	29
Gimnasia de La Plata	0.947	108	114	36	39	33
Ferro Carril Oeste	0.939	107	114	30	39	38
Deportivo Mandiyú	0.939	107	114	33	36	38
Deportivo Español	0.921	105	114	46	31	28
Platense	0.912	104	114	33	36	35
Unión de Santa Fe	0.882	67	76	N/A	36	31
Chaco For Ever	0.789	60	76	N/A	32	28
Lanús	0.763	29	38	N/A	N/A	29
