Rank	County	Population (2011)	Area (km²)	Density (2011)
1	Oslo	599,230	454	1,319.8
2	Akershus	545,653	4,917	110.9
3	Vestfold	233,705	2,216	105.4
4	Østfold	274,827	4,183	65.7
5	Rogaland	436,087	9,378	46.7
6	Hordaland	484,240	15,634	30.9
7	Vest-Agder	172,408	7,281	23.6
8	Buskerud	261,110	14,927	17.4
9	Møre og Romsdal	253,904	15,104	16.8
10	Sør-Trøndelag	294,066	18,832	15.6
11	Aust-Agder	110,048	9,212	11.9
12	Telemark	169,185	15,313	11.0
13	Oppland	186,087	25,191	7.3
14	Hedmark	191,622	27,388	6.9
15	Nordland	237,280	38,463	6.1
16	Troms	157,554	25,848	6.0
17	Nord-Trøndelag	132,140	22,396	5.9
18	Sogn og Fjordane	107,742	18,619	5.7
19	Finnmark	73,417	48,637	1.5
Sum	Norway	4,920,305	323,941	15.1
