Season	Team	Country	Division	Apps	Goals
00/01	Club Deportivo Victoria	Honduras	1	19	1
01/02	Club Deportivo Victoria	Honduras	1	14	2
02/03	Club Deportivo Victoria	Honduras	1	10	4
03/04	Club Deportivo Victoria	Honduras	1	10	2
03/04	Club Deportivo Marathón	Honduras	1	10	2
04/05	Club Deportivo Marathón	Honduras	1	10	1
05/06	Club Deportivo y Social Vida	Honduras	1	8	3
06/07	Club Deportivo Marathón	Honduras	1	18	9
2007	Beijing Guoan	China	1	28	7
2008	Beijing Guoan	China	1	16	7
08/09	Deportivo Alavés	Spain	2	3	0
09/10	Club Deportivo Marathón	Honduras	1	23	7
2010	Beijing Guoan	China	1	12	4
2011	Beijing Guoan	China	1	25	9
2012	Chongqing F.C.	China	2	29	3
2013	San Jose Earthquakes	USA	1	11	2
