Episode #	Airdate	Movie Title and Year	Main Cast	Network TV Run Time
31	9/22/1962	Gentlemen Prefer Blondes (1953)	Jane Russell , Marilyn Monroe , Charles Coburn	2 hours
32	9/29/1962	Broken Lance (1954)	Spencer Tracy , Robert Wagner , Richard Widmark	2 hours
34	10/13/1962	Three Coins In The Fountain (1954)	Clifton Webb , Dorothy McGuire , Louis Jourdan	2 hours
35	10/20/1962	River of No Return (1954)	Robert Mitchum , Marilyn Monroe , Rory Calhoun	2 hours
36	10/27/1962	Mister Scoutmaster (1953)	Clifton Webb , Edmund Gwenn , Frances Dee	2 hours
37	11/03/1962	Beneath the 12-Mile Reef (1953)	Robert Wagner , Terry Moore , Richard Boone	2 hours
38	11/10/1962	The Desert Rats (1953)	Richard Burton , James Mason , Robert Newton	2 hours
39	11/17/1962	White Witch Doctor (1953)	Susan Hayward , Robert Mitchum , Walter Slezak	2 hours
40	11/24/1962	Sailor of the King (1953)	Jeffrey Hunter , Michael Rennie , Wendy Hiller	2 hours
41	12/01/1962	Night People (1954)	Gregory Peck , Broderick Crawford , Buddy Ebsen	2 hours
42	12/08/1962	No Down Payment (1957)	Joanne Woodward , Tony Randall , Jeffrey Hunter	2 hours, 5 minutes
43	12/15/1962	Désirée (1954)	Marlon Brando , Merle Oberon , Michael Rennie	2 hours, 10 minutes
44	12/22/1962	Red Skies of Montana (1952)	Richard Widmark , Jeffrey Hunter , Richard Boone	2 hours
46	1/5/1963	Decision Before Dawn (1952)	Richard Basehart , Gary Merrill , Hildegard Neff	2 hours, 25 minutes
47	1/12/1963	The Sun Also Rises (1957)	Tyrone Power , Ava Gardner , Errol Flynn	2 hours, 35 minutes
48	1/19/1963	Woman's World (1954)	Van Heflin , Lauren Bacall , Clifton Webb	2 hours
49	1/26/1963	Deadline - U.S.A. (1952)	Humphrey Bogart , Kim Hunter , Ed Begley	2 hours
50	2/2/1963	Niagara (1953)	Marilyn Monroe , Joseph Cotten , Jean Peters	2 hours
51	2/9/1963	Kangaroo (1952)	Maureen O'Hara , Peter Lawford , Richard Boone	2 hours
52	2/16/1963	The Long Hot Summer (1958)	Paul Newman , Joanne Woodward , Orson Wells	2 hours, 15 minutes
53	2/23/1963	The President's Lady (1953)	Susan Hayward , Charlton Heston , John McIntire	2 hours
54	3/2/1963	The Roots of Heaven (1958)	Errol Flynn , Juliette Greco , Eddie Albert	2 hours, 25 minutes
55	3/9/1963	In Love and War (1958)	Robert Wagner , Hope Lange , Jeffrey Hunter	2 hours, 10 minutes
56	3/16/1963	A Certain Smile (1958)	Rossano Brazzi , Joan Fontaine , Johnny Mathis	2 hours, 5 minutes
57	3/23/1963	Fraulein (1958)	Dana Wynter , Mel Ferrer , Theodore Bikel	2 hours
59	4/6/1963	Night and the City (1950)	Richard Widmark , Gene Tierney , Herbert Lom	2 hours
