Year	Theme	Artist	Mintage (Proof)	Issue Price (Proof)	Mintage (BU)[ clarification needed ]	Issue Price (BU)[ clarification needed ]
2000	Voyage of Discovery	D.F. Warkentin	121,575	$29.95	62,975	$19.95
2001	50th Anniversary of the National Ballet of Canada	Dora de Pédery-Hunt	89,390	$30.95	53,668	$20.95
2002	Golden Jubilee of Elizabeth II	Royal Canadian Mint Staff	29,688	$33.95	64,410	$24.95
2002	The Queen Mother	Royal Canadian Mint Staff	9,994	$49.95	No BU exists	N/A
2004	The Poppy	Cosme Saffioti	24,527	$49.95	No BU Exists	N/A
2005	40th Anniversary, Flag of Canada	William Woodruff	N/A	$34.95	N/A	$24.95
2006	Victoria Cross	Royal Canadian Mint Staff	N/A	$34.95	N/A	$26.95
2006	Medal of Bravery	Royal Canadian Mint Staff	N/A	$54.95	No BU Exists	N/A
2007	Thayendanegea Joseph Brant	RCM Staff based on image by Laurie McGaw	65,000	42.95	35,000	34.95
2007	Celebration of the Arts	Friedrich Peter	20,000	$54.95	No BU Exists	N/A
2008	400th Anniversary of Quebec	Suzanne Duranceau	65,000	$42.95	35,000	$34.95
2008	100th Anniversary of Royal Canadian Mint	Jason Bouwman	25,000	$59.95	No BU Exists	N/A
2008	The Poppy (with ultra high relief)	Cosme Saffioti	5,000	$139.95	No BU Exists	N/A
