Year	Winner	First Runner Up	Third Place	Consolation Winner/4th	Finals Location
2012 Details	TSA Toronto ON	NRH North Richland Hills TX	Mesa Mesa AZ	Denver Denver CO	Las Vegas NV
2011 Details	NRH North Richland Hills TX	TSA Toronto ON	Mesa Mesa AZ	Federal Way Seattle WA	Las Vegas NV
2010 Details	TSA Toronto ON	NRH North Richland Hills TX	Mesa Mesa AZ	Federal Way Seattle WA	Hoffman Estates IL
2009 Details	NRH North Richland Hills TX	TSA Toronto ON	Federal Way Seattle WA	Team OFF Hoffman Estates IL	Las Vegas NV
2008 Details	NRH North Richland Hills TX	ShadowZ Lincoln NE	TSA Scarborough ON	Team OFF Hoffman Estates IL	Hoffman Estates IL
2007 Details	9 Deadly Venoms Houston TX	Brampton Brew Crew Brampton ON	Team OFF Hoffman Estates IL	NRH North Richland Hills TX	Gwinnett GA
2006 Details	ShadowZ Lincoln NE	Westland Wolfpack Westland MI	42 Appleton WI	Brampton Brew Crew Brampton ON	Las Vegas NV
2005 Details	NRH North Richland Hills TX	9 Deadly Venoms Houston TX	Westland Wolfpack Westland MI	Brampton Brew Crew Brampton ON	Mesquite TX
2004 Details	Brampton Brew Crew Brampton ON	NRH North Richland Hills TX	9 Deadly Venoms Houston TX	Phoenix Pyros Phoenix AZ	Rochester NY
2003 Details	Paragon Denver CO	Westland Wolfpack Westland MI	ShadowZ Lincoln NE	Brampton Brew Crew Brampton ON	North Richland Hills TX
2002 Details	Paragon Denver CO	Phoenix Pyros Phoenix AZ	9 Deadly Venoms Houston TX	ShadowZ Lincoln NE	Norridge IL
2001 Details	Paragon Denver CO	Westland Wolfpack Westland MI	San Antonio San Antonio TX	Austin Austin TX	Colorado Springs CO
2000 Details	Phoenix Pyros Phoenix AZ	Paragon Denver CO	Tulsa Whoopdonkeys Tulsa OK	Westland Wolfpack Westland MI	Scarborough ON
1999 Details	Phoenix Pyros Phoenix AZ	Paragon Denver CO	Austin Austin TX	NRH North Richland Hills TX	North Richland Hills TX
1998 Details	9 Deadly Venoms Houston TX	Phoenix Pyros Phoenix AZ	Armageddon Lincoln NE	Mesa Mesa AZ	Knoxville TN
1997 Details	Team MAD Madison Heights MI	Paragon Denver CO	Oshawa Oshawa ON	Phoenix Pyros Phoenix AZ	Downers Grove IL
1996 Details	Oshawa Oshawa ON	London London ON	Brampton Brew Crew Brampton ON	Charlotte Charlotte NC	London ON
