Place	Code	Area (km 2 )	Population	Most spoken language
Bekkersdal	70301	11.03	55,838	Xhosa
Cooke Mine	70302	2.73	1,215	Tsonga
Elsburg Gold Mine	70303	11.78	3,238	Tsonga
Etlebeni	70304	1.06	636	Xhosa
Glen Harvie	70305	3.96	4,757	Afrikaans
Hills Haven	70306	1.35	2,147	Afrikaans
Johannesburg	70307	3.58	315	Sotho
Kloof Gold Mine	70308	18.07	6,819	Sotho
Leeudoorn Mine	70309	8.86	2,610	Sotho
Libanon Gold Mine	70310	12.56	3,013	Xhosa
Modderfontein	70311	0.46	490	Sotho
Panvlak Gold Mine	70312	3.13	815	Xhosa
Randfontein Mine	70313	10.22	2,774	Tsonga
Venterspost	70314	40.19	1,048	Afrikaans
Waterpan	70315	1.57	433	Afrikaans
Westonaria	70317	6.46	8,441	Afrikaans
Remainder of the municipality	70316	478.90	14,731	Zulu
