Rank	Title	Studio	Director(s)	Worldwide Gross
1.	Star Wars Episode I: The Phantom Menace	20th Century Fox / Lucasfilm	George Lucas	$924,317,558
2.	The Sixth Sense	Hollywood Pictures / Blinding Edge	M. Night Shyamalan	$672,806,292
3.	Toy Story 2	Disney / Pixar	John Lasseter and Lee Unkrich	$485,015,179
4.	The Matrix	Warner Bros.	Andy & Larry Wachowski	$460,379,930
5.	Tarzan	Walt Disney Pictures	Kevin Lima and Chris Buck	$448,191,819
6.	The Mummy	Universal Studios / Amblin Entertainment	Stephen Sommers	$415,933,406
7.	Notting Hill	Universal Studios	Roger Michell	$363,889,678
8.	The World Is Not Enough	MGM	Michael Apted	$361,832,400
9.	American Beauty	DreamWorks	Sam Mendes	$356,296,601
10.	Austin Powers: The Spy Who Shagged Me	New Line Cinema	Jay Roach	$312,016,858
11.	Runaway Bride	Paramount / Touchstone	Garry Marshall	$309,457,509
12.	Stuart Little	Columbia Pictures	Rob Minkoff	$300,135,367
13.	The Green Mile	Warner Bros.	Frank Darabont	$290,701,374
14.	The Blair Witch Project	Haxan Films	Eduardo Sánchez and Daniel Myrick	$248,639,099
15.	American Pie	Universal Studios	Paul Weitz	$235,483,004
16.	Big Daddy	Columbia Pictures	Dennis Dugan	$234,801,895
17.	Wild Wild West	Warner Bros.	Barry Sonnenfeld	$222,105,681
18.	Entrapment	20th Century Fox	Jon Amiel	$212,404,396
19.	End of Days	Universal Studios	Peter Hyams	$211,989,043
20.	Sleepy Hollow	Paramount Pictures	Tim Burton	$206,071,502
