Year	Gold	Silver	Bronze	Venue
1991	Soviet Union	Canada	United States	Sapporo / Yokohama
1992	Canada	Russia	Japan	Tokyo
1993	Russia	United States	Canada	Yokohama
1994	Canada	United States	Russia	Mexico City
1995	Russia	Canada	United States	Yokohama
1996	Canada	United States	Finland	Nelson / Castlegar , British Columbia
1997	Canada	Czech Republic	Slovakia	Jihlava / Žďár nad Sázavou / Znojmo
1998	Canada	Czech Republic	Slovakia	Bratislava
1999	Canada	United States	Czech Republic	Havlíčkův Brod / Třebíč / Znojmo
2000	Canada	United States	Czech Republic	Kežmarok
2001	Canada	Czech Republic	Russia	Kolín / Mladá Boleslav / Nymburk
2002	Canada	Czech Republic	Russia	Břeclav / Piešťany
2003	United States	Russia	Czech Republic	Břeclav / Piešťany
2004	Canada	Czech Republic	Sweden	Břeclav / Hodonín / Piešťany
2005	Canada	Czech Republic	Finland	Břeclav / Piešťany
2006	Canada	United States	Russia	Břeclav / Piešťany
2007	Sweden	Finland	Russia	Hodonín / Piešťany
2008	Canada	Russia	Sweden	Hodonín / Piešťany
2009	Canada	Russia	Sweden	Břeclav / Hodonín / Piešťany
2010	Canada	United States	Sweden	Břeclav / Piešťany
2011	Canada	Sweden	Russia	Břeclav / Piešťany
2012	Canada	Finland	Sweden	Břeclav / Piešťany
2013	Canada	United States	Czech Republic	Břeclav / Piešťany
