Place	Player	Country	Score	To par	Money ( $ )
1	Jack Nicklaus	United States	68-67-73-68=276	–12	40,000
T2	Johnny Miller	United States	75-71-65-66=277	–11	21,250
T2	Tom Weiskopf	United States	69-72-66-70=277	–11	21,250
T4	Hale Irwin	United States	73-74-71-64=282	–6	12,500
T4	Bobby Nichols	United States	67-74-72-69=282	–6	12,500
6	Billy Casper	United States	70-70-73-70=283	–5	7,500
7	Dave Hill	United States	75-71-70-68=284	–4	6,000
T8	Hubert Green	United States	74-71-70-70=285	–3	4,500
T8	Tom Watson	United States	70-70-72-73=285	–3	4,500
T10	Tom Kite	United States	72-74-71-69=286	–2	3,600
T10	J. C. Snead	United States	69-72-75-70=286	–2	3,600
T10	Lee Trevino	United States	71-70-74-71=286	–2	3,600
