Week	Date	Opponent	Result	Attendance
1	September 8, 2002	at Tampa Bay Buccaneers	W 26-20	65,554
2	September 15, 2002	Green Bay Packers	W 35-20	67,958
3	September 22, 2002	at Chicago Bears	W 29-23	63,216
4	September 29, 2002	at Detroit Lions	L 26-21	60,023
5	October 6, 2002	Pittsburgh Steelers	W 32-29	67,734
6	October 13, 2002	at Washington Redskins	W 43-27	80,768
7	October 20, 2002	San Francisco 49ers	W 35-27	67,903
8	October 27, 2002	Atlanta Falcons	L 37-35	67,883
9	Bye	Bye	Bye	Bye
10	November 10, 2002	at Carolina Panthers	W 34-24	72,566
11	November 17, 2002	at Atlanta Falcons	L 24-17	70,382
12	November 24, 2002	Cleveland Browns	L 24-15	68,295
13	December 1, 2002	Tampa Bay Buccaneers	W 23-20	68,226
14	December 8, 2002	at Baltimore Ravens	W 37-25	69,334
15	December 15, 2002	Minnesota Vikings	L 32-31	67,851
16	December 22, 2002	at Cincinnati Bengals	L 20-13	43,544
17	December 29, 2002	Carolina Panthers	L 10-6	66,946
