Circuit	Location / State	Date	Round winner	Team
Sandown International Raceway	Melbourne , Victoria	3 - 5 Feb	Larry Perkins	Castrol Perkins Motorsport
Symmons Plains Raceway	Launceston , Tasmania	24 - 26 Feb	John Bowe	Dick Johnson Racing
Mount Panorama Circuit	Bathurst , New South Wales	10 - 12 Mar	John Bowe	Dick Johnson Racing
Phillip Island Grand Prix Circuit	Phillip Island , Victoria	7 - 9 Apr	Glenn Seton	Glenn Seton Racing
Lakeside International Raceway	Brisbane , Queensland	21 - 23 Apr	Glenn Seton	Glenn Seton Racing
Winton Motor Raceway	Benalla , Victoria	19–21 May	John Bowe	Dick Johnson Racing
Eastern Creek Raceway	Sydney , New South Wales	26–28 May	Mark Skaife	Gibson Motor Sport
Mallala Motor Sport Park	Mallala , South Australia	7 - 9 Jul	Glenn Seton	Glenn Seton Racing
Barbagallo Raceway	Perth , Western Australia	14 - 16 Jul	Glenn Seton	Glenn Seton Racing
Oran Park Raceway	Sydney , New South Wales	4 - 6 Aug	John Bowe	Dick Johnson Racing
