Tie no	Home team	Score	Away team	Date
1	Bury	1–1	Fulham	3 January 1981
Replay	Fulham	0–0	Bury	6 January 1981
Replay	Bury	0–1	Fulham	12 January 1981
2	Liverpool	4–1	Altrincham	3 January 1981
3	Preston North End	3–4	Bristol Rovers	3 January 1981
4	Southampton	3–1	Chelsea	3 January 1981
5	Leicester City	3–0	Cardiff City	3 January 1981
6	Notts County	2–1	Blackburn Rovers	3 January 1981
7	Nottingham Forest	3–3	Bolton Wanderers	3 January 1981
Replay	Bolton Wanderers	0–1	Nottingham Forest	6 January 1981
8	West Bromwich Albion	3–0	Grimsby Town	3 January 1981
9	Derby County	0–0	Bristol City	3 January 1981
Replay	Bristol City	2–0	Derby County	7 January 1981
10	Everton	2–0	Arsenal	3 January 1981
11	Ipswich Town	1–0	Aston Villa	3 January 1981
12	Newcastle United	2–1	Sheffield Wednesday	3 January 1981
13	Manchester City	4–0	Crystal Palace	3 January 1981
14	Queens Park Rangers	0–0	Tottenham Hotspur	3 January 1981
Replay	Tottenham Hotspur	3–1	Queens Park Rangers	7 January 1981
15	Barnsley	2–1	Torquay United	3 January 1981
16	Maidstone United	2–4	Exeter City	3 January 1981
17	West Ham United	1–1	Wrexham	3 January 1981
Replay	Wrexham	0–0	West Ham United	6 January 1981
Replay	Wrexham	1–0	West Ham United	19 January 1981
18	Manchester United	2–2	Brighton & Hove Albion	3 January 1981
Replay	Brighton & Hove Albion	0–2	Manchester United	7 January 1981
19	Norwich City	1–0	Cambridge United	3 January 1981
20	Plymouth Argyle	1–2	Charlton Athletic	3 January 1981
21	Hull City	1–0	Doncaster Rovers	3 January 1981
22	Wimbledon	0–0	Oldham Athletic	3 January 1981
Replay	Oldham Athletic	0–1	Wimbledon	6 January 1981
23	Huddersfield Town	0–3	Shrewsbury Town	3 January 1981
24	Mansfield Town	2–2	Carlisle United	3 January 1981
Replay	Carlisle United	2–1	Mansfield Town	6 January 1981
25	Port Vale	1–1	Enfield	3 January 1981
Replay	Enfield	3–0	Port Vale	6 January 1981
26	Leeds United	1–1	Coventry City	3 January 1981
Replay	Coventry City	1–0	Leeds United	6 January 1981
27	Stoke City	2–2	Wolverhampton Wanderers	3 January 1981
Replay	Wolverhampton Wanderers	2–1	Stoke City	6 January 1981
28	Peterborough United	1–1	Chesterfield	3 January 1981
Replay	Chesterfield	1–2	Peterborough United	6 January 1981
29	Colchester United	0–1	Watford	3 January 1981
30	Birmingham City	1–1	Sunderland	3 January 1981
Replay	Sunderland	1–2	Birmingham City	7 January 1981
31	Orient	1–3	Luton Town	3 January 1981
32	Swansea City	0–5	Middlesbrough	3 January 1981
