Elector	Place of birth	Cardinalatial title	Elevated	Elevator
Hugh Aycelin , O.P.	Billom , France	Bishop of Ostia e Velletri	May 16, 1288	Nicholas IV
Gerardo Bianchi	Parma	Bishop of Sabina	March 12, 1278	Nicholas III
Giovanni Boccamazza	Rome	Bishop of Frascati	December 22, 1285	Honorius IV
Matteo d'Acquasparta , O.F.M.	Acquasparta	Bishop of Porto e Santa Rufina	May 16, 1288	Nicholas IV
Simon de Beaulieu	Beaulieu [ disambiguation needed ], France	Bishop of Palestrina	September 18, 1294	Celestine V
Bérard de Got	Villandrout , France	Bishop of Albano	September 18, 1294	Celestine V
Benedetto Caetani	Anagni	Priest of SS. Silvestro e Martino	April 12, 1281	Nicholas III
Pietro Peregrosso	Milan	Priest of S. Marco	May 16, 1288	Nicholas IV
Tommaso d'Ocra , O.Cel.	Ocre , Abruzzi	Priest of S. Cecilia	September 18, 1294	Celestine V
Jean Lemoine	Crécy , France	Priest of SS. Marcellino e Pietro	September 18, 1294	Celestine V
Pietro d'Aquila , O.S.B.Cas.	L'Aquila	Priest of S. Croce in Gerusalemme	September 18, 1294	Celestine V
Guillaume Ferrières	Provence	Priest of S. Clemente	September 18, 1294	Celestine V
Nicolas l'Aide	Nonancourt , France	Priest of S. Marcello	September 18, 1294	Celestine V
Robert de Pontigny , O.Cist.	France	Priest of S. Pudenziana	September 18, 1294	Celestine V
Simon de Armentières , O.S.B.Clun.	France	Priest of S. Balbina	September 18, 1294	Celestine V
Giovanni Castrocoeli , O.S.B.Cas.	Castrocielo	Priest of S. Vitale	September 18, 1294 (or October 1294)	Celestine V
Matteo Orsini Rosso	Rome	Deacon of S. Maria in Portico	May 22, 1262	Urban IV
Giacomo Colonna	Rome	Deacon of S. Maria in Via Lata	March 12, 1278	Nicholas III
Napoleone Orsini Frangipani	Rome	Deacon of S. Adriano	May 16, 1288	Nicholas IV
Pietro Colonna	Rome	Deacon of S. Eustachio	May 16, 1288	Nicholas IV
Landolfo Brancaccio	Naples	Deacon of S. Angelo in Pescheria	September 18, 1294	Celestine V
Guglielmo de Longhi	Bergamo	Deacon of S. Nicola in Carcere	September 18, 1294	Celestine V
