#	Matches As Captain	Player	Asian Cup Played As A Captain	Years Active	Caps(Goals)
1	4 (0)	Hassan Habibi	Iran 1968	1958–1970	31 (0)
2	4 (0)	Mostafa Arab	Thailand 1972	1959–1972	48 (2)
3	3 (0)	Parviz Ghelichkhani	Iran 1976	1964–1977	64 (12)
4	5 (0)	Nasser Hejazi	Kuwait 1980	1968–1980	62 (0)
5	6 (0)	Mohammad Panjali	Singapore 1984	1978–1991	45 (0)
6	6 (0)	Sirous Ghayeghran	Qatar 1988	1986–1992	40 (6)
7	3 (0)	Sirous Ghayeghran	Japan 1992	1986–1992	40 (6)
8	1 (0)	Mojtaba Moharrami	UAE 1996	1988–1996	37 (5)
9	4 (2)	Hamid Reza Estili	Lebanon 2000	1990–2000	82 (12)
10	6 (3)	Ali Daei	China 2004	1993–2006	149 (109)
11	4 (0)	Mehdi Mahdavikia	Asian Cup 2007	1996–2009	111 (13)
