Place	Player	Country	Score	To par	Money ( $ )
1	Ben Hogan	United States	76-73-71-67=287	+7	4,000
2	Clayton Heafner	United States	72-75-73-69=289	+9	2,000
3	Bobby Locke	South Africa	73-71-74-73=291	+11	1,500
T4	Julius Boros	United States	74-74-71-74=293	+13	700
T4	Lloyd Mangrum	United States	75-74-74-70=293	+13	700
T6	Al Besselink	United States	72-77-72-73=294	+14	387
T6	Dave Douglas	United States	75-70-75-74=294	+14	387
T6	Fred Hawkins	United States	76-72-75-71=294	+14	387
T6	Paul Runyan	United States	73-74-72-75=294	+14	387
T10	Al Brosch	United States	73-74-76-72=295	+15	187
T10	Smiley Quick	United States	73-76-74-72=295	+15	187
T10	Skee Riegel	United States	75-76-71-73=295	+15	187
T10	Sam Snead	United States	71-78-72-74=295	+15	187
