Squad No.	Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
1	Nico Vaesen	GK	46	0	1	0	6	0	53	0
2	Steve Jenkins	DF	33	0	1	0	2	0	36	0
3	Jamie Vincent	DF	33 (3)	2	1	0	1 (2)	0	35 (5)	2
4	Craig Armstrong	MF	37 (2)	0	1	0	5 (1)	0	43 (3)	0
5	Chris Lucketti	DF	26	0	0	0	5	1	31	1
6	Kevin Gray	DF	16 (2)	2	1	0	2	0	19 (2)	2
7	Giorgos Donis	MF	10 (10)	0	0 (1)	0	3 (1)	0	13 (12)	0
8	Kenny Irons	MF	39	3	1	0	6	2	46	5
9	Martin Smith	FW	10 (2)	4	0	0	0	0	10 (2)	4
9	Marcus Stewart	FW	29	14	1	0	6	1	36	15
10	Scott Sellars	MF	23 (11)	1	1	0	1 (1)	1	25 (12)	2
11	Clyde Wijnhard	FW	45	15	1	0	6	1	52	16
12	Ben Thornley	MF	16 (12)	1	1	0	4	0	21 (12)	1
14	Alun Armstrong	FW	4 (3)	0	0	0	0	0	4 (3)	0
14	Barry Horne	MF	6 (8)	0	0	0	3	0	9 (8)	0
15	Rob Edwards	MF	1 (8)	1	0	0	2	0	3 (8)	1
16	Delroy Facey	FW	0 (2)	0	0	0	0	0	0 (2)	0
17	Simon Baldry	MF	5 (14)	1	0	0	0 (2)	0	5 (16)	1
18	Darren Edmondson	DF	2 (3)	0	0	0	0	0	2 (3)	0
18	Chris Hay	FW	2 (5)	0	0	0	0	0	2 (5)	0
19	David Beresford	MF	0	0	0	0	0 (1)	0	0 (1)	0
20	Wayne Allison	FW	0 (3)	0	0	0	0 (1)	0	0 (4)	0
20	Thomas Heary	DF	1	0	0	0	0	0	1	0
21	Jon Dyson	DF	22 (6)	2	0	0	2 (2)	0	24 (8)	2
22	Chris Beech	MF	34 (1)	9	0	0	4	1	38 (1)	10
23	Chris Holland	MF	16 (1)	1	0	0	0	0	16 (1)	1
24	Danny Schofield	MF	0 (2)	0	0 (1)	0	0 (1)	0	0 (4)	0
34	Michael Senior	MF	0	0	0	0	0 (1)	0	0 (1)	0
35	David May	DF	1	0	0	0	0	0	1	0
36	Kwami Hodouto	DF	1 (1)	0	0	0	1	0	2 (1)	0
36	Michel Ngonge	FW	0 (4)	0	0	0	0	0	0 (4)	0
37	Steve Baker	DF	3	0	0	0	0	0	3	0
38	Ken Monkou	DF	19	1	0	0	4	0	23	1
40	Dean Gorré	MF	26 (2)	4	1	0	3	1	30 (2)	5
