Episode Number	Air Date	Event 1	Event 2	Event 3	Event 4
1	30 March 2008	Gauntlet	Duel	Pyramid	Pendulum
2	6 April 2008	Hit and Run	The Wall	Sumo Ball	Pyramid
3	13 April 2008	Hang Tough	Atlasphere	Suspension Bridge	Vertigo
4	20 April 2008	Pendulum	Gauntlet	Hang Tough	Powerball
5	27 April 2008	Duel	Vertigo	Pyramid	Hit and Run
6	4 May 2008	Gauntlet	Hit and Run	Sumo Ball	The Wall
7	11 May 2008	Gauntlet	Duel	Pendulum	Pyramid
8	18 May 2008	Suspension Bridge	Powerball	Hang Tough	Atlasphere
9	25 May 2008	Pendulum	Whiplash	Gauntlet	The Wall
10	1 June 2008	Atlasphere	Vertigo	Suspension Bridge	Pyramid
11	8 June 2008	Gauntlet	Hang Tough	Powerball	Sumo Ball
12	15 June 2008	Hit and Run	The Wall	Duel	Pyramid
13	22 June 2008	Vertigo	Suspension Bridge	Powerball	The Wall
14	29 June 2008	Pendulum	Gauntlet	Duel	Whiplash
