Player	Int'l Debut	Year	Cross Code Debut	Date	Position
Jack Rhapps	RU Test v England	1897	RL Test Other Nationalities v England	5 Apr 1904	Forward
David Jones	RU Test v England	1902	RL Test v New Zealand All Golds	1 Jan 1908	Forward
Billy O'Neill	RU Test v Scotland	1904	RL Test v England	28 Dec 1908	Forward
William Dowell	RU Test v England	1907	RL Test v England	28 Dec 1908	Forward
Jake Blackmore	RU Test v England	1909	RL Test v England	10 Dec 1910	Forward
Ben Gronow	RU Test v France	1910	RL Test v England	10 Dec 1910	Forward
Ernie Jenkins	RU Test v England	1910	RL Test v England	10 Dec 1910	Forward
Joseph Pugsley	RU Test v Scotland	1910	RL Test v Australia	7 Oct 1911	Forward
William Evans	RU Test v Ireland	1911	RL Test v England	20 Jan 1912	Forward
Percy Coldrick	RU Test v England	1911	RL Test v England	15 Feb 1913	Forward
Gus Merry	RU Test v Ireland	1912	RL Test v England	15 Feb 1913	Forward
William Davies	RU Test v Scotland	1912	RL Test v England	14 Apr 1914	Back
Rees Richards	RU Test v Scotland	1913	RL Test v England	14 Apr 1914	Forward
Bobby Lloyd	RU Test v Scotland	1913	RL Test Great Britain v Australia	3 July 1920	Half-back
Brinley Williams	RU Test v Scotland	1920	RL Test v England	19 Jan 1921	Back
Ike Fowler	RU Test v New Zealand Army XV	1919	RL Test Other Nationalities v England	5 Feb 1921	Back
Wick Powell	RU Test v England	1920	RL Test Other Nationalities v England	5 Feb 1921	Back
Edgar Morgan	RU Test v Ireland	1920	RL Test Great Britain v Australia	1 Oct 1921	Forward
George Oliver	RU Test v England	1920	RL Test v Australia	10 Dec 1921	Forward
Frank Evans	RU Test v Scotland	1921	RL Test v Australia	10 Dec 1921	Back
Jerry Shea	RU Test v New Zealand Army XV	1919	RL Test v England	11 Dec 1922	Back
Wilfred Hodder	RU Test v England	1921	RL Test Wales v England	11 Dec 1922	Forward
Dai Edwards	RU Test v England	1921	RL Test v England	7 Feb 1923	Forward
Joe Thompson	RU Test v England	1923	RL Test v England	1 Oct 1923	Forward
Johnny Ring	RU Test v England	1921	RL Test Great Britain v Australia	23 Jun 1924	Back
Ambrose Baker	RU Test v Ireland	1921	RL Test v England	7 Feb 1925	Forward
Mel Rosser	RU Test v Scotland	1924	RL Test v England	12 Apr 1926	Back
Joseph Jones	RU Test v France	1924	RL Test v England	12 Apr 1926	Back
Bryn Phillips	RU Test v England	1925	RL Test v England	12 Apr 1926	Back
Jack Gore	RU Test v Ireland	1924	RL Test v New Zealand	4 Dec 1926	Forward
David Morgan Jenkins	RU Test v England	1926	RL Test v England	26 Apr 1927	Forward
Emlyn Watkins	RU Test v Scotland	1926	RL Test v England	6 Apr 1927	Forward
David Jenkins	RU Test v Australia	1927	RL Test v England	6 Apr 1927	Forward
Candy Evans	RU Test v England	1924	RL Test v England	14 Nov 1928	Forward
Edwin Williams	RU Test v New Zealand	1924	RL Test v England	14 Nov 1928	Half-back
Tommy Rees	RU Test v Ireland	1926	RL Test Great Britain v Australia	5 Oct 1929	Back
Billy Williams	RU Test v England	1927	RL Test Great Britain v Australia	15 Jan 1930	Forward
Gwyn Davies	RU Test v France	1928	RL Test v England	27 Jan 1932	Back
Trevor 'Ocker' Thomas	RU Test v England	1930	RL Test v England	27 Jan 1932	Forward
Norman Fender	RU Test v Ireland	1930	RL Test v England	27 Jan 1932	Forward
Dicky Ralph	RU Test v France	1931	RL Test v Australia	30 Dec 1933	Half-back
Iorrie Isaacs	RU Test v England	1933	RL Test v Australia	30 Dec 1933	Forward
Lewis Rees	RU Test v Ireland	1933	RL Test v France	1 Jan 1935	Forward
Gomer Hughes	RU Test v England	1934	RL Test v France	1 Jan 1935	Forward
Con Murphy	RU Test v England	1935	RL Test v England	1 Jan 1935	Forward
Bert Day	RU Test v Scotland	1930	RL Test v England	10 Apr 1935	Forward
Tommy Scourfield	RU Test v France	1930	RL Test v England	10 Apr 1935	Back
Jack Morley	RU Test v England	1929	RL 1st Test Great Britain v Australia	19 Jun 1936	Back
Dai Prosser	RU Test v Scotland	1934	RL Test v England	7 Nov 1936	Forward
Harold Thomas	RU Test v England	1936	RL Test v England	5 Nov 1938	Forward
Arthur Bassett	RU Test v Ireland	1934	RL Test v England	23 Dec 1939	Back
Sydney Williams	RU Test v England	1939	RL Test v England	9 Nov 1940	Back
Eddie Watkins	RU Test v New Zealand	1935	RL Test v England	18 Oct 1941	Forward
Emrys Evans	RU Test v England	1937	RL Test v England	10 Mar 1945	Forward
Idwal Davies	RU Test v England	1939	RL Test v England	10 Mar 1945	Back
Willie Davies	RU Test v Ireland	1936	RL Test Great Britain v New Zealand	1 Aug 1946	Half-back
George Parsons	RU Test v England	1947	RL Test v Australia	20 Nov 1948	Forward
Leslie Williams	RU Test v England	1947	RL Test v England	22 Oct 1949	Back
Terence Cook	RU Test v Scotland	1949	RL Test v Other Nationalities	31 Mar 1951	Back
Ray Cale	RU Test v England	1949	RL Test v Other Nationalities	1 Dec 1951	Forward
Lewis Jones	RU Test v England	1950	RL Test v France	13 Dec 1953	Back
Garfield Owen	RU Test v Ireland	1955	RL Test v France	1 Mar 1959	Back
Colin Evans	RU Test v England	1960	RL Test v England	17 Feb 1963	Half-back
John Mantle	RU Test v England	1964	RL Test v England	16 Jan 1966	Forward
Malcolm Price	RU Test v England	1959	RL Test Great Britain v Australia	21 Oct 1967	Back
John Warlow	RU Test v England	1962	RL Test Great Britain v France	2 June 1968	Forward
Kel Coslett	RU Test v England	1962	RL Test v England	7 Nov 1968	Back
David Watkins	RU Test v England	1963	RL Test v England	7 Nov 1968	Back
Terry Price	RU Test v England	1965	RL Test v England	7 Nov 1968	Back
Maurice Richards	RU Test v Ireland	1968	RL Test v France	23 Oct 1969	Back
Keith Jarrett	RU Test v England	1967	RL Test vs France	25 Jan 1970	Back
Keri Jones	RU Test v New Zealand	1967	RL Test Great Britain v New Zealand	31 Oct 1970	Back
Roy Mathias	RU Test v France	1970	RL Test v England	2 Mar 1975	Back
Robert Wanbon	RU Test v England	1968	RL Test v England	10 Jun 1975	Forward
Stuart Gallacher	RU Test v France	1970	RL Test v New Zealand	2 Nov 1975	Forward
John Bevan	RU Test v England	1971	RL 1st Test Great Britain v Australia	15 Jun 1974	Back
Glyn Shaw	RU Test v New Zealand	1972	RL Test v France	15 Jan 1978	Forward
Clive Griffiths	RU Test v England	1979	RL Test v France	26 Jan 1980	Back
Tom David	RU Test v France	1973	RL match v England	8 Nov 1981	Back
Steve Fenwick	RU Test v France	1975	RL match v England	8 Nov 1981	Back
Paul Ringer	RU Test v New Zealand	1978	RL Test v England	8 Nov 1981	Forward
Brynmor Williams	RU Test British Lions v New Zealand	1977	RL Test v England	24 Oct 1982	Half-back
David Bishop	RU Test v Australia	1984	RL Test Great Britain v France	7 Apr 1990	Half-back
Robert Ackerman	RU Test v New Zealand	1980	RL Test v Papua New Guinea	17 Oct 1991	Back
Gary Pearce	RU Test v Ireland	1981	RL Test v Papua New Guinea	17 Oct 1991	Half-back
Mark Jones	RU Test v Scotland	1987	RL Test Great Britain v France	16 Feb 1992	Forward
Richard Webster	RU Test v Australia	1987	RL Test v France	4 Mar 1994	Forward
Jonathan Davies	RU Test v England	1985	RL 1st Test v Australia	22 Oct 1994	Back
Dai Young	RWC Qtr-final v England	1987	RLWC v France	9 Oct 1995	Forward
Adrian Hadley	RU Test v Romania	1983	RLWC v France	9 Oct 1995	Back
John Devereux	RU Test v England	1986	RLWC v France	9 Oct 1995	Back
Paul Moriarty	RU Test v Ireland	1986	RLWC v France	9 Oct 1995	Forward
Rowland Phillips	RU Test v USA	1987	RLWC v France	9 Oct 1995	Forward
Allan Bateman	RU Test v Scotland	1990	RLWC v France	9 Oct 1995	Back
Scott Gibbs	RU Test v England	1991	RLWC v France	9 Oct 1995	Back
Scott Quinnell	RU Test v Canada	1993	RLWC v France	9 Oct 1995	Forward
Iestyn Harris	RLWC v France	1995	RU v Argentina	10 Nov 2001	Back
Anthony Sullivan	RLWC v France	1995	RU v Argentina	10 Nov 2001	Back
Gareth Thomas	RUWC v Japan	1995	RL Test v Italy	6 Oct 2010	Back
