No.1	No.2	No.3	No.4	No.5	No.6	No.7	No.8	No.9	No.10	FINAL
No Nominations	Delfina Pedro	Lourenço Pedro	Anibal Lourenço	Anibal Lourenço	Anibal Liliana	Liliana Lourenço	Liliana Lourenço	Liliana Lourenço	Lara Pedro	Winner (Day 121)
No Nominations	Rosa Tozé	Rosa Tozé	Anibal Madalena	Anibal Ricardo	Anibal Tozé	Liliana Lourenço	Catarina Tozé	Liliana Lourenço	Catarina Marciano	Runner-Up (Day 121)
No Nominations	Joana Marciano	Pdero Ricardo	Catarina Madalena	Marciano Ricardo	Anibal Tozé	Catarina Tozé	Marciano Tozé	Lourenço Marciano	Catarina Marciano	Third place (Day 121)
No Nominations	Anibal Lourenço	Anibal Lourenço	Liliana Lourenço	Lourenço Ricardo	Anibal Liliana	Liliana Lourenço	Pedro Tozé	Liliana Lourenço	Lara Pedro	Evicted (Day 115)
No Nominations	Delfina Rosa	Marciano Pedro	Madalena Marciano	Catarina Marciano	Catarina Marciano	Catarina Joana	Catarina Marciano	Catarina Marciano	Walked (Day 101)	Walked (Day 101)
No Nominations	Delfina Rosa	Pedro Rosa	Catarina Marciano	Catarina Joana	Joana Marciano	Catarina Joana	Catarina Marciano	Catarina Marciano	Evicted (Day 101)	Evicted (Day 101)
No Nominations	Delfina Pedro	Pedro Rosa	Madalena Marciano	Lara Pedro	Marciano Pedro	Joana Pedro	Marciano Pedro	Evicted (Day 94)	Evicted (Day 94)	Evicted (Day 94)
No Nominations	Delfina Lara	Anibal Rosa	Anibal Madelena	Lara Lourenço	Anibal Lourenço	Lourenço Pedro	Evicted (Day 80)	Evicted (Day 80)	Evicted (Day 80)	Evicted (Day 80)
No Nominations	Lara Pedro	Marciano Pedro	Madalena Marciano	Pedro Ricardo	Joana Marciano	Evicted (Day 66)	Evicted (Day 66)	Evicted (Day 66)	Evicted (Day 66)	Evicted (Day 66)
No Nominations	Joana Rosa	Madalena Pedro	Madalena Marciano	Lara Pedro	Evicted (Day 52)	Evicted (Day 52)	Evicted (Day 52)	Evicted (Day 52)	Evicted (Day 52)	Evicted (Day 52)
No Nominations	Marciano Rosa	Marciano Rosa	Anibal Lourenço	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)
No Nominations	Pedro Ricardo	Joana Pedro	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)
No Nominations	Joana Tozé	Evicted (Day 11)	Evicted (Day 11)	Evicted (Day 11)	Evicted (Day 11)	Evicted (Day 11)	Evicted (Day 11)	Evicted (Day 11)	Evicted (Day 11)	Evicted (Day 11)
No Nominations	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)	Evicted (Day 3)
All housemates	Delfina Rosa	Pedro Rosa	Madalena Marciano	Lara Lourenço Pedro Ricardo	Anibal Marciano	Catarina Joana Liliana Lourenço	Catarina Marciano Tozé	Liliana Lourenço Marciano	Catarina Lara Marciano Pedro	Catarina Lara Pedro
Fernando	Delfina	Rosa	Madalena	Ricardo	Anibal	Joana	Tozé	Lourenço	Marciano	Lara
Fernando	Delfina	Rosa	Madalena	Ricardo	Anibal	Joana	Tozé	Lourenço	Marciano	Pedro
Fernando	Delfina	Rosa	Madalena	Ricardo	Anibal	Joana	Tozé	Lourenço	Marciano	Catarina
