Year	Ceremony	Category	Nominee	Result
2001	TVyNovelas Awards	Best Telenovela	Abrázame muy fuerte	Won
2001	TVyNovelas Awards	Best Lead Actress	Aracely Arámbula	Nominated
2001	TVyNovelas Awards	Best Lead Actor	Fernando Colunga	Won
2001	TVyNovelas Awards	Best Female Villain	Nailea Norvind	Won
2001	TVyNovelas Awards	Best Male Villain	César Évora	Won
2001	TVyNovelas Awards	Best Supporting Actress	Carmen Salinas	Nominated
2001	TVyNovelas Awards	Best Supporting Actor	Pablo Montero	Won
2001	TVyNovelas Awards	Best First Actress	Helena Rojo	Won
2001	TVyNovelas Awards	Best First Actor	Joaquín Cordero	Won
2001	TVyNovelas Awards	Best Song for a Telenovela	Juan Gabriel	Nominated
