Date	Opponent	Score	Loss	Attendance
April 6	@ Atlanta	7-2	Ortiz (0-1)	49,460
April 7	@ Atlanta	18-10	Trachsel (0-1)	22,775
April 8	@ Atlanta	10-8	Franco (0-1)	26,585
April 9	@ Montreal	3-2	Ayala (0-2)	14,739
April 10	@ Montreal	1-0	Seo (0-1)	11,957
April 11	@ Montreal	4-1	Hernandez (0-1)	10,623
April 12	Atlanta	10-6	Hampton (0-1)	53,666
April 14	Atlanta	6-1	Yates (0-1)	15,894
April 15	Atlanta	4-0	Ramirez (0-1)	33,212
April 16	Pittsburgh	7-6	Moreno (0-1)	18,554
April 17	Pittsburgh	2-1	Trachsel (1-2)	40,172
April 18	Pittsburgh	8-1	Seo (0-2)	44,345
April 19	Montreal	4-1	Ohka (0-3)	14,002
April 20	Montreal	2-1	Weathers (1-1)	14,513
April 21	Montreal	2-1	Glavine (2-1)	23,565
April 22	Montreal	3-2	Bentz (0-1)	15,062
April 23	Chicago	3-1	Seo (1-3)	38,862
April 24	Chicago	3-0	Yates (1-2)	39,043
April 25	Chicago	4-1	Leiter (1-1)	38,635
April 27	LA Dodgers	9-5	Nomo (3-2)	28,524
April 28	LA Dodgers	3-2	Trachsel (2-3)	29,319
April 29	LA Dodgers	6-1	Weaver (1-3)	32,067
April 30	San Diego	7-6	Yates (1-3)	41,971
