Driver	Constructor	Laps	Time/Retired	Grid
Heinz-Harald Frentzen	Williams - Renault	62	1:31:00.673	2
Michael Schumacher	Ferrari	62	+1.237	3
Eddie Irvine	Ferrari	62	+1:18.343	9
Giancarlo Fisichella	Jordan - Peugeot	62	+1:23.388	6
Jean Alesi	Benetton - Renault	61	+1 Lap	14
Mika Häkkinen	McLaren - Mercedes	61	+1 Lap	8
Nicola Larini	Sauber - Petronas	61	+1 Lap	12
Olivier Panis	Prost - Mugen-Honda	61	+1 Lap	4
Mika Salo	Tyrrell - Ford	60	+2 Laps	19
Jos Verstappen	Tyrrell - Ford	60	+2 Laps	21
Ukyo Katayama	Minardi - Hart	59	+3 Laps	22
Pedro Diniz	Arrows - Yamaha	53	Gearbox	17
Jacques Villeneuve	Williams - Renault	40	Gearbox	1
David Coulthard	McLaren - Mercedes	38	Engine	10
Rubens Barrichello	Stewart - Ford	32	Engine	13
Johnny Herbert	Sauber - Petronas	18	Electrical	7
Ralf Schumacher	Jordan - Peugeot	17	Transmission	5
Shinji Nakano	Prost - Mugen-Honda	11	Collision	18
Damon Hill	Arrows - Yamaha	11	Collision	15
Gerhard Berger	Benetton - Renault	4	Spun off	11
Jan Magnussen	Stewart - Ford	2	Spun off	16
Jarno Trulli	Minardi - Hart	0	Gearbox	20
