Serial	Airborne Unit	Troop carrier Group	# of C-47s	UK Base	Drop Zone	Drop Zone Time
1	Pathfinders	1st Pathfinder Prov.	3	RAF North Witham	A	0020
2	Pathfinders	1st Pathfinder Prov.	3	RAF North Witham	C	0025
6A	Pathfinders	1st Pathfinder Prov.	2	RAF North Witham	C	0027
3	Pathfinders	1st Pathfinder Prov.	3	RAF North Witham	D	0035
7	2d Bn 502d PIR	438th TCG	36	RAF Greenham Common	A	0048
8	3rd Bn 502d PIR	438th TCG	45	RAF Greenham Common	A	0050
9	1st Bn 502d PIR	436th TCG	36	RAF Membury	A	0055
10	377th Para FA	436th TCG	54	RAF Membury	A	0108
11	1st Bn 506th PIR	439th TCG	45	RAF Upottery	C	0114
12	2nd Bn 506th PIR	439th TCG	36	RAF Upottery	C	0120
13	3rd Bn 501st PIR Div HQ	435th TCG	45	RAF Welford	C	0120
14	1st Bn 501st PIR	441st TCG	45	RAF Merryfield	D	0126
15	2d Bn 501st PIR	441st TCG	45	RAF Merryfield	D	0134
16	3rd Bn 506th PIR Co C 326th Engr Bn	440th TCG	45	RAF Exeter	D	0140
