Pick	Player	Team	Position	Hometown/School
1	Chipper Jones	Atlanta Braves	SS	Pierson, Florida
2	Tony Clark	Detroit Tigers	OF	El Cajon, California
3	Mike Lieberthal	Philadelphia Phillies	C	Westlake, California
4	Alex Fernandez	Chicago White Sox	RHP	Miami Dade College
5	Kurt Miller	Pittsburgh Pirates	RHP	Bakersfield, California
6	Marc Newfield	Seattle Mariners	1B	Huntington Beach, California
7	Dan Wilson	Cincinnati Reds	C	University of Minnesota
8	Timothy Costo	Cleveland Indians	SS	University of Iowa
9	Ronnie Walden	Los Angeles Dodgers	LHP	Blanchard, Oklahoma
10	Carl Everett	New York Yankees	OF	Tampa, Florida
11	Shane Andrews	Montreal Expos	SS	Carlsbad, New Mexico
12	Todd Ritchie	Minnesota Twins	RHP	Duncanville, Texas
13	Donovan Osborne	St. Louis Cardinals	LHP	University of Nevada, Las Vegas
14	Todd Van Poppel	Oakland A's	RHP	Arlington, Texas
15	Adam Hyzdu	San Francisco Giants	OF	Cincinnati, Ohio
16	Daniel Smith	Texas Rangers	LHP	Creighton University
17	Jeromy Burnitz	New York Mets	OF	Oklahoma State University
18	Aaron Holbert	St. Louis Cardinals	SS	Long Beach, California
19	Eric Christopherson	San Francisco Giants	C	San Diego State University
20	Mike Mussina	Baltimore Orioles	RHP	Stanford University
21	Thomas Nevers	Houston Astros	SS	Edina, Minnesota
22	Steve Karsay	Toronto Blue Jays	RHP	College Point, New York
23	Lance Dickson	Chicago Cubs	LHP	University of Arizona
24	Rondell White	Montreal Expos	OF	Gray, Georgia
25	Robert Beckett	San Diego Padres	LHP	Austin, Texas
26	Donald Peters	Oakland A's	RHP	St. Francis College
