Country	Skip	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot %
China	Wang Bingyu	51	38	11	19	81
Denmark	Angelina Jensen	49	40	13	12	80
Canada	Jennifer Jones	50	44	7	13	84
Sweden	Anette Norberg	47	45	11	13	80
Switzerland	Mirjam Ott	51	48	7	20	79
Germany	Andrea Schöpp	51	43	11	18	77
Russia	Ludmila Privivkova	41	52	11	7	79
Scotland	Eve Muirhead	42	40	18	11	80
United States	Debbie McCormick	47	48	3	13	79
South Korea	Kim Mi-Yeon	41	47	11	13	73
Norway	Marianne Rørvik	39	50	11	7	73
Italy	Diana Gaspari	35	50	13	5	73
