Province	Capital	Area (km²)	Population census 1999	Population per km² (2009)	Population census 2009
Central Province	Tulagi	615	21,577	42.4	26,051
Choiseul Province	Taro Island	3,837	20,008	6.9	26,371
Guadalcanal Province	Honiara	5,336	60,275	17.5	93,613
Isabel Province	Buala	4,136	20,421	6.3	26,158
Makira-Ulawa Province	Kirakira	3,188	31,006	12.7	40,419
Malaita Province	Auki	4,225	122,620	32.6	137,596
Rennell and Bellona Province	Tigoa	671	2,377	4.5	3,041
Temotu Province	Lata	895	18,912	23.9	21,362
Western Province	Gizo	5,475	62,739	14.0	76,649
Capital Territory	Honiara	22	49,107	2,936.8	64,609
Solomon Islands	Honiara	28,400	409,042	14.7	515,870
