Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1955	Robert Baldin	No competition	Tilbert Haberfeld Edwin Lenzlinger	No competition	No competition
1956	Robert Baldin	D. Hegar	Tilbert Haberfeld Edwin Lenzlinger	No competition	Tilbert Haberfeld D. Hegar
1957	Jean Mermod	R. Eschenmoser	Jean Mermod Robert Baldin	No competition	Erwin Oeler Gertrud Oeler
1958	Jean Mermod	R. Eschenmoser	Jean Mermod Robert Baldin	No competition	Erwin Oeler Vreni Schkölzinger
1959	Jean Mermod	L. Füller	Jean Mermod Robert Baldin	No competition	C. Böhler R. Eschenmoser
1960	Francis Colomb	S. Böhler	Jean Mermod Robert Baldin	No competition	C. Böhler S. Böhler
1961	Francis Colomb	L. Füller	Francis Colomb Heinz Honegger	No competition	Tilbert Haberfeld S. Conzett
1962	Heinz Honegger	M. Poffet	Jürg Honegger Heinz Honegger	No competition	H. P. Conzett D. Hörnlimann
1963	Jürg Honegger	L. Füller	Jürg Honegger Heinz Honegger	No competition	E. Schneider E. Häner
1964	Heinz Honegger	Hedi Müller	Jürg Honegger Heinz Honegger	S. Grob L. Füller	E. Schneider E. Häner
1965	Heinz Honegger	Vreni Schkölzinger	A. Bodmer H. P. Conzett	Vreni Schkolzinger Hedi Müller	A. Bodmer Hedi Müller
1966	Heinz Honegger	Vreni Schkölzinger	Jürg Honegger Heinz Honegger	Vreni Schkölzinger Hedi Müller	Anton Sauter Vreni Schkölzinger
1967	Jürg Honegger	Vreni Schkölzinger	Jürg Honegger Heinz Honegger	Vreni Schkölzinger U. Wanner	Anton Sauter Vreni Schkölzinger
1968	Jürg Honegger	Vreni Schkölzinger	Jürg Honegger Heinz Honegger	Vreni Schkölzinger U. Wanner	Anton Sauter Vreni Schkölzinger
1969	Hubert Riedo	S. Conzett	Jürg Honegger Heinz Honegger	José Carrel U. Wanner	E. Schneider S. Conzett
1970	Anton Sauter	Vreni Schkolzinger	Jürg Honegger Heinz Honegger	Vreni Schkölzinger José Carrel	Heinz Honegger Vreni Schkölzinger
1971	Hubert Riedo	José Carrel	Edy Andrey Hubert Riedo	Mireille Drapel José Carrel	Heinz Honegger Vreni Schkölzinger
1972	Hubert Riedo	D. Künzler	Edy Andrey Hubert Riedo	D. Künzler Bohlen	Edy Andrey Liselotte Blumer
1973	Edy Andrey	Liselotte Blumer	Edy Andrey Hubert Riedo	Liselotte Blumer Claudia von Büren	Hubert Riedo B. Geser
