Round	Overall	Player	Nationality	Club team
1	21	Anton Volchenkov	Russia	Krylja Sovetov (Moscow, Russia)
2	45	Mathieu Chouinard	Canada	Shawinigan Cataractes (QMJHL)
2	55	Antoine Vermette	Canada	Victoriaville Tigres (QMJHL)
3	87	Jan Bohac	Czech Republic	HC Slavia Praha (Prague, Czech Republic)
4	122	Derrick Byfuglien	United States	Fargo-Moorhead Ice Sharks (USHL)
5	156	Greg Zanon	Canada	University of Nebraska-Omaha (NCAA)
5	157	Grant Potulny	United States	Lincoln Stars (USHL)
5	158	Sean Connolly	United States	Marquette Northern Michigan University (NCAA)
6	188	Jason Maleyko	Canada	Brampton Battalion (OHL)
9	283	James DeMone	Canada	Portland Winterhawks (WHL)
